Glycan,AD1,AD2,AD_4,AD3,AD_5
5-7-2-1-0 Protonated Ratio,2.14,2.12,N/A,1,N/A
5-7-2-1-0 All Adducts,8780201.5,8489569.5,N/A,5221237.75,N/A
5-7-2-1-0 All Ratio,1.68,1.63,N/A,1,N/A
5-8-0-0-0 Protonated,229425.8,465951.6,N/A,251645,N/A
5-8-0-0-0 Protonated Ratio,1,2.03,N/A,1.1,N/A
5-8-0-0-0 All Adducts,229425.81,465951.63,N/A,251645,N/A
5-8-0-0-0 All Ratio,1,2.03,N/A,1.1,N/A
5-8-0-1-0 Protonated,1089234,262918.2,N/A,355317.4,N/A
5-8-0-1-0 Protonated Ratio,4.14,1,N/A,1.35,N/A
5-8-0-1-0 All Adducts,1089234.13,2057003.94,N/A,636664.75,N/A
5-8-0-1-0 All Ratio,1.71,3.23,N/A,1,N/A
5-8-0-2-0 Protonated,215344.6,2343911,N/A,680978,N/A
5-8-0-2-0 Protonated Ratio,1,10.88,N/A,3.16,N/A
5-8-0-2-0 All Adducts,396846.4,8671933,N/A,680978,N/A
5-8-0-2-0 All Ratio,1,21.85,N/A,1.72,N/A
5-8-1-0-0 Protonated,140472800,25119730,N/A,59535320,N/A
5-8-1-0-0 Protonated Ratio,5.59,1,N/A,2.37,N/A
5-8-1-0-0 All Adducts,140472784,25119730,N/A,59535316,N/A
5-8-1-0-0 All Ratio,5.59,1,N/A,2.37,N/A
5-8-1-1-0 Protonated,155556.2,52576.43,N/A,50608.9,N/A
5-8-1-1-0 Protonated Ratio,3.07,1.04,N/A,1,N/A
5-8-1-1-0 All Adducts,155556.2,52576.43,N/A,50608.9,N/A
5-8-1-1-0 All Ratio,3.07,1.04,N/A,1,N/A
5-8-1-2-0 Protonated,91068.39,362519.8,N/A,84547.56,N/A
5-8-1-2-0 Protonated Ratio,1.08,4.29,N/A,1,N/A
5-8-1-2-0 All Adducts,363576.13,362519.81,N/A,169501.39,N/A
5-8-1-2-0 All Ratio,2.14,2.14,N/A,1,N/A
5-8-2-0-0 Protonated,714122.4,1077785,N/A,1932101,N/A
5-8-2-0-0 Protonated Ratio,1,1.51,N/A,2.71,N/A
5-8-2-0-0 All Adducts,1831805,1077784.88,N/A,1932100.5,N/A
5-8-2-0-0 All Ratio,1.7,1,N/A,1.79,N/A
5-8-2-1-0 Protonated,23536510,1930122,N/A,4612266,N/A
5-8-2-1-0 Protonated Ratio,12.19,1,N/A,2.39,N/A
5-8-2-1-0 All Adducts,23536512,1930122,N/A,5121480.41,N/A
5-8-2-1-0 All Ratio,12.19,1,N/A,2.65,N/A
5-8-3-1-0 Protonated,7974009,4558003,N/A,1243752,N/A
5-8-3-1-0 Protonated Ratio,6.41,3.66,N/A,1,N/A
5-8-3-1-0 All Adducts,7974009,4558003,N/A,1243751.63,N/A
5-8-3-1-0 All Ratio,6.41,3.66,N/A,1,N/A
6-3-0-0-0 Protonated,185975600,98778990,N/A,116472400,N/A
6-3-0-0-0 Protonated Ratio,1.88,1,N/A,1.18,N/A
6-3-0-0-0 All Adducts,185975616,98778992,N/A,116472408,N/A
6-3-0-0-0 All Ratio,1.88,1,N/A,1.18,N/A
6-3-1-0-0 Protonated,1308788000,534485100,N/A,843712300,N/A
6-3-1-0-0 Protonated Ratio,2.45,1,N/A,1.58,N/A
6-3-1-0-0 All Adducts,1473952064,534485088,N/A,843712256,N/A
6-3-1-0-0 All Ratio,2.76,1,N/A,1.58,N/A
6-3-2-0-0 Protonated,98535010,11935430,N/A,52312860,N/A
6-3-2-0-0 Protonated Ratio,8.26,1,N/A,4.38,N/A
6-3-2-0-0 All Adducts,98535008,24073048,N/A,52312864,N/A
6-3-2-0-0 All Ratio,4.09,1,N/A,2.17,N/A
6-4-0-0-0 Protonated,6351608,6199674,N/A,5542102,N/A
6-4-0-0-0 Protonated Ratio,1.15,1.12,N/A,1,N/A
6-4-0-0-0 All Adducts,7892084.63,6199674,N/A,6985890.5,N/A
6-4-0-0-0 All Ratio,1.27,1,N/A,1.13,N/A
6-4-0-1-0 Protonated,125791400,63620800,N/A,109053500,N/A
6-4-0-1-0 Protonated Ratio,1.98,1,N/A,1.71,N/A
6-4-0-1-0 All Adducts,125791392,70407486,N/A,109053528,N/A
6-4-0-1-0 All Ratio,1.79,1,N/A,1.55,N/A
6-4-1-0-0 Protonated,372568600,193360700,N/A,294490500,N/A
6-4-1-0-0 Protonated Ratio,1.93,1,N/A,1.52,N/A
6-4-1-0-0 All Adducts,372568576,193360736,N/A,294490496,N/A
6-4-1-0-0 All Ratio,1.93,1,N/A,1.52,N/A
6-4-1-1-0 Protonated,1348492000,195696200,N/A,673882000,N/A
6-4-1-1-0 Protonated Ratio,6.89,1,N/A,3.44,N/A
6-4-1-1-0 All Adducts,1873502144,215632804,N/A,857436208,N/A
6-4-1-1-0 All Ratio,8.69,1,N/A,3.98,N/A
6-5-0-0-0 Protonated,1198514,510069,N/A,315316.1,N/A
6-5-0-0-0 Protonated Ratio,3.8,1.62,N/A,1,N/A
6-5-0-0-0 All Adducts,1198514,510069,N/A,315316.06,N/A
6-5-0-0-0 All Ratio,3.8,1.62,N/A,1,N/A
6-5-0-1-0 Protonated,805769.6,863948.4,N/A,632637.4,N/A
6-5-0-1-0 Protonated Ratio,1.27,1.37,N/A,1,N/A
6-5-0-1-0 All Adducts,805769.56,863948.38,N/A,632637.38,N/A
6-5-0-1-0 All Ratio,1.27,1.37,N/A,1,N/A
6-5-0-2-0 Protonated,584107.2,3491731,N/A,1538578,N/A
6-5-0-2-0 Protonated Ratio,1,5.98,N/A,2.63,N/A
6-5-0-2-0 All Adducts,584107.19,3491730.5,N/A,1538578.25,N/A
6-5-0-2-0 All Ratio,1,5.98,N/A,2.63,N/A
6-5-1-0-0 Protonated,24864950,48772850,N/A,41022460,N/A
6-5-1-0-0 Protonated Ratio,1,1.96,N/A,1.65,N/A
6-5-1-0-0 All Adducts,32525005.5,59620307,N/A,46192617.5,N/A
6-5-1-0-0 All Ratio,1,1.83,N/A,1.42,N/A
6-5-1-1-0 Protonated,63623780,32555670,N/A,53589030,N/A
6-5-1-1-0 Protonated Ratio,1.95,1,N/A,1.65,N/A
6-5-1-1-0 All Adducts,70978404,32555674,N/A,53589032,N/A
6-5-1-1-0 All Ratio,2.18,1,N/A,1.65,N/A
6-5-1-2-0 Protonated,165584900,149558400,N/A,109388700,N/A
6-5-1-2-0 Protonated Ratio,1.51,1.37,N/A,1,N/A
6-5-1-2-0 All Adducts,188408876,149558448,N/A,121956978,N/A
6-5-1-2-0 All Ratio,1.54,1.23,N/A,1,N/A
6-6-0-0-0 Protonated,65612990,43253940,N/A,92359780,N/A
6-6-0-0-0 Protonated Ratio,1.52,1,N/A,2.14,N/A
6-6-0-0-0 All Adducts,78749415,56239132,N/A,119356374,N/A
6-6-0-0-0 All Ratio,1.4,1,N/A,2.12,N/A
6-6-0-1-0 Protonated,282578.3,40481.87,N/A,341758.6,N/A
6-6-0-1-0 Protonated Ratio,6.98,1,N/A,8.44,N/A
6-6-0-1-0 All Adducts,282578.31,40481.87,N/A,341758.59,N/A
6-6-0-1-0 All Ratio,6.98,1,N/A,8.44,N/A
6-6-0-2-0 Protonated,610264.9,290459.3,N/A,688582.6,N/A
6-6-0-2-0 Protonated Ratio,2.1,1,N/A,2.37,N/A
6-6-0-2-0 All Adducts,610264.88,290459.25,N/A,688582.56,N/A
6-6-0-2-0 All Ratio,2.1,1,N/A,2.37,N/A
6-6-0-3-0 Protonated,78026.4,205541.5,N/A,38063.75,N/A
6-6-0-3-0 Protonated Ratio,2.05,5.4,N/A,1,N/A
6-6-0-3-0 All Adducts,78026.4,205541.52,N/A,158508.55,N/A
6-6-0-3-0 All Ratio,1,2.63,N/A,2.03,N/A
6-6-1-0-0 Protonated,1289952,692804.8,N/A,2066847,N/A
6-6-1-0-0 Protonated Ratio,1.86,1,N/A,2.98,N/A
6-6-1-0-0 All Adducts,1571992.72,692804.75,N/A,2066847.13,N/A
6-6-1-0-0 All Ratio,2.27,1,N/A,2.98,N/A
6-6-1-1-0 Protonated,129039400,9105062,N/A,47374160,N/A
6-6-1-1-0 Protonated Ratio,14.17,1,N/A,5.2,N/A
6-6-1-1-0 All Adducts,129039376,9105062,N/A,47374160,N/A
6-6-1-1-0 All Ratio,14.17,1,N/A,5.2,N/A
6-6-1-2-0 Protonated,109058.5,89814.78,N/A,540641.6,N/A
6-6-1-2-0 Protonated Ratio,1.21,1,N/A,6.02,N/A
6-6-1-2-0 All Adducts,109058.47,106897.77,N/A,540641.63,N/A
6-6-1-2-0 All Ratio,1.02,1,N/A,5.06,N/A
6-6-1-3-0 Protonated,13807370,1274733,N/A,8129753,N/A
6-6-1-3-0 Protonated Ratio,10.83,1,N/A,6.38,N/A
6-6-1-3-0 All Adducts,13807365,5171376.5,N/A,9938024,N/A
6-6-1-3-0 All Ratio,2.67,1,N/A,1.92,N/A
6-7-0-0-0 Protonated,291492.2,91040.55,N/A,626819.3,N/A
6-7-0-0-0 Protonated Ratio,3.2,1,N/A,6.89,N/A
6-7-0-0-0 All Adducts,291492.19,91040.55,N/A,626819.31,N/A
6-7-0-0-0 All Ratio,3.2,1,N/A,6.89,N/A
6-7-0-1-0 Protonated,1649707,5904682,N/A,2443866,N/A
6-7-0-1-0 Protonated Ratio,1,3.58,N/A,1.48,N/A
6-7-0-1-0 All Adducts,1649706.75,8483977.75,N/A,3261398,N/A
6-7-0-1-0 All Ratio,1,5.14,N/A,1.98,N/A
6-7-0-2-0 Protonated,7549026,10245790,N/A,12573700,N/A
6-7-0-2-0 Protonated Ratio,1,1.36,N/A,1.67,N/A
6-7-0-2-0 All Adducts,14787490,23016001,N/A,26183089,N/A
6-7-0-2-0 All Ratio,1,1.56,N/A,1.77,N/A
6-7-0-3-0 Protonated,10680830,10452440,N/A,14028640,N/A
6-7-0-3-0 Protonated Ratio,1.02,1,N/A,1.34,N/A
6-7-0-3-0 All Adducts,28497352.75,18478776.75,N/A,23475973,N/A
6-7-0-3-0 All Ratio,1.54,1,N/A,1.27,N/A
6-7-0-4-0 Protonated,33041520,18965520,N/A,20952190,N/A
6-7-0-4-0 Protonated Ratio,1.74,1,N/A,1.1,N/A
6-7-0-4-0 All Adducts,45459670,28067574,N/A,26333177,N/A
6-7-0-4-0 All Ratio,1.73,1.07,N/A,1,N/A
6-7-1-0-0 Protonated,1674645,1242811,N/A,900583.5,N/A
6-7-1-0-0 Protonated Ratio,1.86,1.38,N/A,1,N/A
6-7-1-0-0 All Adducts,1674644.88,2456554.13,N/A,900583.5,N/A
6-7-1-0-0 All Ratio,1.86,2.73,N/A,1,N/A
6-7-1-1-0 Protonated,40203940,100329300,N/A,36112770,N/A
6-7-1-1-0 Protonated Ratio,1.11,2.78,N/A,1,N/A
6-7-1-1-0 All Adducts,57409232,166338448,N/A,51744224,N/A
6-7-1-1-0 All Ratio,1.11,3.21,N/A,1,N/A
6-7-1-2-0 Protonated,17023580,12273310,N/A,6416352,N/A
6-7-1-2-0 Protonated Ratio,2.65,1.91,N/A,1,N/A
6-7-1-2-0 All Adducts,17023580,12273312,N/A,6416351.5,N/A
6-7-1-2-0 All Ratio,2.65,1.91,N/A,1,N/A
6-7-1-3-0 Protonated,4409563,3193348,N/A,1688105,N/A
6-7-1-3-0 Protonated Ratio,2.61,1.89,N/A,1,N/A
6-7-1-3-0 All Adducts,5402614.38,8753930,N/A,3786224.34,N/A
6-7-1-3-0 All Ratio,1.43,2.31,N/A,1,N/A
6-7-1-4-0 Protonated,37603780,26954540,N/A,38054560,N/A
6-7-1-4-0 Protonated Ratio,1.4,1,N/A,1.41,N/A
6-7-1-4-0 All Adducts,43387214,48447436,N/A,44331634.5,N/A
6-7-1-4-0 All Ratio,1,1.12,N/A,1.02,N/A
6-7-2-3-0 Protonated,8113639,17774440,N/A,5787217,N/A
6-7-2-3-0 Protonated Ratio,1.4,3.07,N/A,1,N/A
6-7-2-3-0 All Adducts,8113638.5,20411946.25,N/A,5787216.5,N/A
6-7-2-3-0 All Ratio,1.4,3.53,N/A,1,N/A
6-7-2-4-0 Protonated,55041930,31151730,N/A,52637120,N/A
6-7-2-4-0 Protonated Ratio,1.77,1,N/A,1.69,N/A
6-7-2-4-0 All Adducts,55041928,40566976.75,N/A,52637124,N/A
6-7-2-4-0 All Ratio,1.36,1,N/A,1.3,N/A
6-7-3-2-0 Protonated,100367600,52802380,N/A,38572840,N/A
6-7-3-2-0 Protonated Ratio,2.6,1.37,N/A,1,N/A
6-7-3-2-0 All Adducts,100367552,67238968,N/A,38572840,N/A
6-7-3-2-0 All Ratio,2.6,1.74,N/A,1,N/A
6-7-3-3-0 Protonated,2196098,1181008,N/A,1083240,N/A
6-7-3-3-0 Protonated Ratio,2.03,1.09,N/A,1,N/A
6-7-3-3-0 All Adducts,2196098.25,1181007.75,N/A,1309756.05,N/A
6-7-3-3-0 All Ratio,1.86,1,N/A,1.11,N/A
6-7-3-4-0 Protonated,1282032,184037.6,N/A,699800.4,N/A
6-7-3-4-0 Protonated Ratio,6.97,1,N/A,3.8,N/A
6-7-3-4-0 All Adducts,1282032.25,303598.22,N/A,699800.38,N/A
6-7-3-4-0 All Ratio,4.22,1,N/A,2.31,N/A
6-8-0-0-0 Protonated,81657.17,135610.7,N/A,486436.9,N/A
6-8-0-0-0 Protonated Ratio,1,1.66,N/A,5.96,N/A
6-8-0-0-0 All Adducts,81657.17,135610.7,N/A,486436.91,N/A
6-8-0-0-0 All Ratio,1,1.66,N/A,5.96,N/A
6-8-0-1-0 Protonated,132909.1,616159.5,N/A,1526899,N/A
6-8-0-1-0 Protonated Ratio,1,4.64,N/A,11.49,N/A
6-8-0-1-0 All Adducts,377566.95,731827.18,N/A,1526898.63,N/A
6-8-0-1-0 All Ratio,1,1.94,N/A,4.04,N/A
6-8-0-2-0 Protonated,16536050,4413932,N/A,9543098,N/A
6-8-0-2-0 Protonated Ratio,3.75,1,N/A,2.16,N/A
6-8-0-2-0 All Adducts,16536054,4413932,N/A,9543098,N/A
6-8-0-2-0 All Ratio,3.75,1,N/A,2.16,N/A
6-8-1-0-0 Protonated,526601.1,3485934,N/A,511110.1,N/A
6-8-1-0-0 Protonated Ratio,1.03,6.82,N/A,1,N/A
6-8-1-0-0 All Adducts,9601535.13,3485933.75,N/A,9964559.09,N/A
6-8-1-0-0 All Ratio,2.75,1,N/A,2.86,N/A
6-8-1-1-0 Protonated,24042730,21341580,N/A,27601650,N/A
6-8-1-1-0 Protonated Ratio,1.13,1,N/A,1.29,N/A
6-8-1-1-0 All Adducts,33836826.25,27584207.5,N/A,33573334.5,N/A
6-8-1-1-0 All Ratio,1.23,1,N/A,1.22,N/A
6-8-1-2-0 Protonated,203686.8,157626.2,N/A,4677302,N/A
6-8-1-2-0 Protonated Ratio,1.29,1,N/A,29.67,N/A
6-8-1-2-0 All Adducts,203686.75,386391.61,N/A,4677302,N/A
6-8-1-2-0 All Ratio,1,1.9,N/A,22.96,N/A
6-8-4-3-0 Protonated,137375.1,95502.4,N/A,104624.8,N/A
6-8-4-3-0 Protonated Ratio,1.44,1,N/A,1.1,N/A
6-8-4-3-0 All Adducts,469639.72,95502.4,N/A,104624.81,N/A
6-8-4-3-0 All Ratio,4.92,1,N/A,1.1,N/A
6-9-0-0-0 Protonated,1127299,164433.4,N/A,715466.6,N/A
6-9-0-0-0 Protonated Ratio,6.86,1,N/A,4.35,N/A
6-9-0-0-0 All Adducts,1127298.88,164433.42,N/A,715466.56,N/A
6-9-0-0-0 All Ratio,6.86,1,N/A,4.35,N/A
6-9-0-1-0 Protonated,18207.64,16046.75,N/A,27695.41,N/A
6-9-0-1-0 Protonated Ratio,1.13,1,N/A,1.73,N/A
6-9-0-1-0 All Adducts,248980.22,43703.45,N/A,27695.41,N/A
6-9-0-1-0 All Ratio,8.99,1.58,N/A,1,N/A
6-9-0-2-0 Protonated,101842100,111839100,N/A,309467700,N/A
6-9-0-2-0 Protonated Ratio,1,1.1,N/A,3.04,N/A
6-9-0-2-0 All Adducts,101842136,111839128,N/A,309467744,N/A
6-9-0-2-0 All Ratio,1,1.1,N/A,3.04,N/A
6-9-1-0-0 Protonated,17391.53,54453.9,N/A,14887.01,N/A
6-9-1-0-0 Protonated Ratio,1.17,3.66,N/A,1,N/A
6-9-1-0-0 All Adducts,67722.28,54453.9,N/A,14887.01,N/A
6-9-1-0-0 All Ratio,4.55,3.66,N/A,1,N/A
6-9-1-1-0 Protonated,7804969,3671652,N/A,2317461,N/A
6-9-1-1-0 Protonated Ratio,3.37,1.58,N/A,1,N/A
6-9-1-1-0 All Adducts,11361355.25,3671651.75,N/A,4048134.56,N/A
6-9-1-1-0 All Ratio,3.09,1,N/A,1.1,N/A
6-9-1-2-0 Protonated,2891687,1042456,N/A,1512025,N/A
6-9-1-2-0 Protonated Ratio,2.77,1,N/A,1.45,N/A
6-9-1-2-0 All Adducts,2891686.5,1042455.75,N/A,1512025.13,N/A
6-9-1-2-0 All Ratio,2.77,1,N/A,1.45,N/A
6-9-2-1-0 Protonated,25169.85,16680.44,N/A,22808.37,N/A
6-9-2-1-0 Protonated Ratio,1.51,1,N/A,1.37,N/A
6-9-2-1-0 All Adducts,40248.94,202572.53,N/A,22808.37,N/A
6-9-2-1-0 All Ratio,1.76,8.88,N/A,1,N/A
7-3-0-0-0 Protonated,0,0,N/A,1898436,N/A
7-3-0-0-0 Protonated Ratio,0,0,N/A,1,N/A
7-3-0-0-0 All Adducts,0,0,N/A,2321375.53,N/A
7-3-0-0-0 All Ratio,0,0,N/A,1,N/A
7-3-1-0-0 Protonated,5292645,2695580,N/A,3606953,N/A
7-3-1-0-0 Protonated Ratio,1.96,1,N/A,1.34,N/A
7-3-1-0-0 All Adducts,52778465,5741532.5,N/A,11748399.25,N/A
7-3-1-0-0 All Ratio,9.19,1,N/A,2.05,N/A
7-4-0-0-0 Protonated,0,31246.88,N/A,6269.15,N/A
7-4-0-0-0 Protonated Ratio,0,4.98,N/A,1,N/A
7-4-0-0-0 All Adducts,0,31246.88,N/A,6269.15,N/A
7-4-0-0-0 All Ratio,0,4.98,N/A,1,N/A
7-4-0-1-0 Protonated,203912.6,28731.31,N/A,142988.1,N/A
7-4-0-1-0 Protonated Ratio,7.1,1,N/A,4.98,N/A
7-4-0-1-0 All Adducts,267288.66,252753.52,N/A,170845.59,N/A
7-4-0-1-0 All Ratio,1.56,1.48,N/A,1,N/A
7-4-1-0-0 Protonated,805296.4,367317.8,N/A,374827.3,N/A
7-4-1-0-0 Protonated Ratio,2.19,1,N/A,1.02,N/A
7-4-1-0-0 All Adducts,805296.38,367317.75,N/A,374827.34,N/A
7-4-1-0-0 All Ratio,2.19,1,N/A,1.02,N/A
7-4-1-1-0 Protonated,5020298,41409770,N/A,27518080,N/A
7-4-1-1-0 Protonated Ratio,1,8.25,N/A,5.48,N/A
7-4-1-1-0 All Adducts,5020298,41409768,N/A,27518078,N/A
7-4-1-1-0 All Ratio,1,8.25,N/A,5.48,N/A
7-5-0-0-0 Protonated,372910.2,285005.1,N/A,11518.55,N/A
7-5-0-0-0 Protonated Ratio,32.37,24.74,N/A,1,N/A
7-5-0-0-0 All Adducts,372910.19,285005.09,N/A,11518.55,N/A
7-5-0-0-0 All Ratio,32.37,24.74,N/A,1,N/A
7-5-0-1-0 Protonated,32270.89,725493.4,N/A,104014.5,N/A
7-5-0-1-0 Protonated Ratio,1,22.48,N/A,3.22,N/A
7-5-0-1-0 All Adducts,32270.89,725493.38,N/A,104014.48,N/A
7-5-0-1-0 All Ratio,1,22.48,N/A,3.22,N/A
7-5-0-2-0 Protonated,324766.8,2428155,N/A,367612.3,N/A
7-5-0-2-0 Protonated Ratio,1,7.48,N/A,1.13,N/A
7-5-0-2-0 All Adducts,324766.81,2428155,N/A,367612.25,N/A
7-5-0-2-0 All Ratio,1,7.48,N/A,1.13,N/A
7-5-1-0-0 Protonated,132014,86544.73,N/A,57716.23,N/A
7-5-1-0-0 Protonated Ratio,2.29,1.5,N/A,1,N/A
7-5-1-0-0 All Adducts,132014.05,8137671.98,N/A,57716.23,N/A
7-5-1-0-0 All Ratio,2.29,140.99,N/A,1,N/A
7-5-1-1-0 Protonated,333560.3,497846.3,N/A,418477,N/A
7-5-1-1-0 Protonated Ratio,1,1.49,N/A,1.25,N/A
7-5-1-1-0 All Adducts,407165.27,563061.94,N/A,418477,N/A
7-5-1-1-0 All Ratio,1,1.38,N/A,1.03,N/A
7-5-1-2-0 Protonated,77539510,12466860,N/A,53375580,N/A
7-5-1-2-0 Protonated Ratio,6.22,1,N/A,4.28,N/A
7-5-1-2-0 All Adducts,120129032,21580229,N/A,74685482,N/A
7-5-1-2-0 All Ratio,5.57,1,N/A,3.46,N/A
7-6-0-0-0 Protonated,95548.38,3299.35,N/A,37692.71,N/A
7-6-0-0-0 Protonated Ratio,28.96,1,N/A,11.42,N/A
7-6-0-0-0 All Adducts,95548.38,3299.35,N/A,37692.71,N/A
7-6-0-0-0 All Ratio,28.96,1,N/A,11.42,N/A
7-6-0-1-0 Protonated,18181.28,11605.71,N/A,58903.71,N/A
7-6-0-1-0 Protonated Ratio,1.57,1,N/A,5.08,N/A
7-6-0-1-0 All Adducts,18181.28,11605.71,N/A,58903.71,N/A
7-6-0-1-0 All Ratio,1.57,1,N/A,5.08,N/A
7-6-0-2-0 Protonated,120044.6,137897.3,N/A,168188,N/A
7-6-0-2-0 Protonated Ratio,1,1.15,N/A,1.4,N/A
7-6-0-2-0 All Adducts,167616.19,137897.3,N/A,206780.13,N/A
7-6-0-2-0 All Ratio,1.22,1,N/A,1.5,N/A
7-6-0-3-0 Protonated,513602.9,158277.8,N/A,221419.4,N/A
7-6-0-3-0 Protonated Ratio,3.24,1,N/A,1.4,N/A
7-6-0-3-0 All Adducts,513602.88,158277.8,N/A,221419.41,N/A
7-6-0-3-0 All Ratio,3.24,1,N/A,1.4,N/A
7-6-1-0-0 Protonated,559834.7,407331.5,N/A,217960.3,N/A
7-6-1-0-0 Protonated Ratio,2.57,1.87,N/A,1,N/A
7-6-1-0-0 All Adducts,1076990.03,1549195.28,N/A,572748.68,N/A
7-6-1-0-0 All Ratio,1.88,2.7,N/A,1,N/A
7-6-1-1-0 Protonated,1372053,1655546,N/A,1863466,N/A
7-6-1-1-0 Protonated Ratio,1,1.21,N/A,1.36,N/A
7-6-1-1-0 All Adducts,2126960.69,2508476.06,N/A,1863466.38,N/A
7-6-1-1-0 All Ratio,1.14,1.35,N/A,1,N/A
7-6-1-2-0 Protonated,1623041,156232.1,N/A,279609.2,N/A
7-6-1-2-0 Protonated Ratio,10.39,1,N/A,1.79,N/A
7-6-1-2-0 All Adducts,1950892.06,241495.46,N/A,385503.76,N/A
7-6-1-2-0 All Ratio,8.08,1,N/A,1.6,N/A
7-6-1-3-0 Protonated,3451401,890581.4,N/A,6202274,N/A
7-6-1-3-0 Protonated Ratio,3.88,1,N/A,6.96,N/A
7-6-1-3-0 All Adducts,6043568.25,4382761.61,N/A,8189776.25,N/A
7-6-1-3-0 All Ratio,1.38,1,N/A,1.87,N/A
7-7-0-0-0 Protonated,65900.92,42600.39,N/A,156146.6,N/A
7-7-0-0-0 Protonated Ratio,1.55,1,N/A,3.67,N/A
7-7-0-0-0 All Adducts,65900.92,42600.39,N/A,156146.59,N/A
7-7-0-0-0 All Ratio,1.55,1,N/A,3.67,N/A
7-7-0-1-0 Protonated,1084608,683223.8,N/A,1371840,N/A
7-7-0-1-0 Protonated Ratio,1.59,1,N/A,2.01,N/A
7-7-0-1-0 All Adducts,1342925.88,766799.9,N/A,1601746.25,N/A
7-7-0-1-0 All Ratio,1.75,1,N/A,2.09,N/A
7-7-0-2-0 Protonated,7849884,458706.5,N/A,2955554,N/A
7-7-0-2-0 Protonated Ratio,17.11,1,N/A,6.44,N/A
7-7-0-2-0 All Adducts,7849883.5,1721908,N/A,2955553.5,N/A
7-7-0-2-0 All Ratio,4.56,1,N/A,1.72,N/A
7-7-0-3-0 Protonated,621364.9,508791.6,N/A,992148.6,N/A
7-7-0-3-0 Protonated Ratio,1.22,1,N/A,1.95,N/A
7-7-0-3-0 All Adducts,691955.85,1934373.13,N/A,3537066.63,N/A
7-7-0-3-0 All Ratio,1,2.8,N/A,5.11,N/A
7-7-0-4-0 Protonated,19809.37,5335.71,N/A,13455.07,N/A
7-7-0-4-0 Protonated Ratio,3.71,1,N/A,2.52,N/A
7-7-0-4-0 All Adducts,19809.37,11025.79,N/A,21886.67,N/A
7-7-0-4-0 All Ratio,1.8,1,N/A,1.99,N/A
7-7-1-0-0 Protonated,1487661,785311.8,N/A,1955105,N/A
7-7-1-0-0 Protonated Ratio,1.89,1,N/A,2.49,N/A
7-7-1-0-0 All Adducts,1487660.63,2184086.88,N/A,2706349.94,N/A
7-7-1-0-0 All Ratio,1,1.47,N/A,1.82,N/A
7-7-1-1-0 Protonated,31964300,18126110,N/A,15562380,N/A
7-7-1-1-0 Protonated Ratio,2.05,1.16,N/A,1,N/A
7-7-1-1-0 All Adducts,31964302,18126106,N/A,15562383,N/A
7-7-1-1-0 All Ratio,2.05,1.16,N/A,1,N/A
7-7-1-2-0 Protonated,27130.75,11853.58,N/A,15855.39,N/A
7-7-1-2-0 Protonated Ratio,2.29,1,N/A,1.34,N/A
7-7-1-2-0 All Adducts,27130.75,11853.58,N/A,15855.39,N/A
7-7-1-2-0 All Ratio,2.29,1,N/A,1.34,N/A
7-7-1-3-0 Protonated,664776.6,527349.4,N/A,269726.4,N/A
7-7-1-3-0 Protonated Ratio,2.46,1.96,N/A,1,N/A
7-7-1-3-0 All Adducts,752217.98,527349.44,N/A,471016.06,N/A
7-7-1-3-0 All Ratio,1.6,1.12,N/A,1,N/A
7-7-1-4-0 Protonated,376703.4,120445.6,N/A,297741.3,N/A
7-7-1-4-0 Protonated Ratio,3.13,1,N/A,2.47,N/A
7-7-1-4-0 All Adducts,2930941.9,1632216.44,N/A,1540239.25,N/A
7-7-1-4-0 All Ratio,1.9,1.06,N/A,1,N/A
7-8-0-0-0 Protonated,41080.29,147556,N/A,693486.1,N/A
7-8-0-0-0 Protonated Ratio,1,3.59,N/A,16.88,N/A
7-8-0-0-0 All Adducts,41080.29,147555.95,N/A,1441681.75,N/A
7-8-0-0-0 All Ratio,1,3.59,N/A,35.09,N/A
7-8-0-1-0 Protonated,13375150,1177577,N/A,2459284,N/A
7-8-0-1-0 Protonated Ratio,11.36,1,N/A,2.09,N/A
7-8-0-1-0 All Adducts,13375150,1177577,N/A,2459284,N/A
7-8-0-1-0 All Ratio,11.36,1,N/A,2.09,N/A
7-8-0-2-0 Protonated,49216.8,22729.4,N/A,99975.13,N/A
7-8-0-2-0 Protonated Ratio,2.17,1,N/A,4.4,N/A
7-8-0-2-0 All Adducts,73160.72,61225.68,N/A,99975.13,N/A
7-8-0-2-0 All Ratio,1.19,1,N/A,1.63,N/A
7-8-0-3-0 Protonated,25984440,5911400,N/A,9881554,N/A
7-8-0-3-0 Protonated Ratio,4.4,1,N/A,1.67,N/A
7-8-0-3-0 All Adducts,45841868,22078929.88,N/A,19129167.75,N/A
7-8-0-3-0 All Ratio,2.4,1.15,N/A,1,N/A
7-8-0-4-0 Protonated,5574.69,5359.76,N/A,7917.5,N/A
7-8-0-4-0 Protonated Ratio,1.04,1,N/A,1.48,N/A
7-8-0-4-0 All Adducts,5574.69,5359.76,N/A,7917.5,N/A
7-8-0-4-0 All Ratio,1.04,1,N/A,1.48,N/A
7-8-1-0-0 Protonated,118425.8,33631.23,N/A,30835.56,N/A
7-8-1-0-0 Protonated Ratio,3.84,1.09,N/A,1,N/A
7-8-1-0-0 All Adducts,118425.77,33631.23,N/A,62074.92,N/A
7-8-1-0-0 All Ratio,3.52,1,N/A,1.85,N/A
