Glycan,C1,C2,C3,C_4,C_5
5-7-2-1-0 Protonated,2553372,1590888,5235268,N/A,N/A
5-7-2-1-0 Protonated Ratio,1.6,1,3.29,N/A,N/A
5-7-2-1-0 All Adducts,2553371.75,2435580.19,9480026.5,N/A,N/A
5-7-2-1-0 All Ratio,1.05,1,3.89,N/A,N/A
5-8-0-0-0 Protonated,632330.1,440659,380950.7,N/A,N/A
5-8-0-0-0 Protonated Ratio,1.66,1.16,1,N/A,N/A
5-8-0-0-0 All Adducts,700661.63,575357.91,380950.66,N/A,N/A
5-8-0-0-0 All Ratio,1.84,1.51,1,N/A,N/A
5-8-0-1-0 Protonated,729901.9,51805.27,121330.2,N/A,N/A
5-8-0-1-0 Protonated Ratio,14.09,1,2.34,N/A,N/A
5-8-0-1-0 All Adducts,729901.88,51805.27,121330.2,N/A,N/A
5-8-0-1-0 All Ratio,14.09,1,2.34,N/A,N/A
5-8-0-2-0 Protonated,81766.84,70200.48,75269.27,N/A,N/A
5-8-0-2-0 Protonated Ratio,1.16,1,1.07,N/A,N/A
5-8-0-2-0 All Adducts,81766.84,102631.93,239271.86,N/A,N/A
5-8-0-2-0 All Ratio,1,1.26,2.93,N/A,N/A
5-8-1-0-0 Protonated,46819130,18121570,6841599,N/A,N/A
5-8-1-0-0 Protonated Ratio,6.84,2.65,1,N/A,N/A
5-8-1-0-0 All Adducts,46819128,18121572,6841598.5,N/A,N/A
5-8-1-0-0 All Ratio,6.84,2.65,1,N/A,N/A
5-8-1-1-0 Protonated,21998.32,270534.2,18152.74,N/A,N/A
5-8-1-1-0 Protonated Ratio,1.21,14.9,1,N/A,N/A
5-8-1-1-0 All Adducts,21998.32,270534.19,18152.74,N/A,N/A
5-8-1-1-0 All Ratio,1.21,14.9,1,N/A,N/A
5-8-1-2-0 Protonated,108218.1,42737.49,43143.7,N/A,N/A
5-8-1-2-0 Protonated Ratio,2.53,1,1.01,N/A,N/A
5-8-1-2-0 All Adducts,199972.5,42737.49,43143.7,N/A,N/A
5-8-1-2-0 All Ratio,4.68,1,1.01,N/A,N/A
5-8-2-0-0 Protonated,1062045,1596118,608053.2,N/A,N/A
5-8-2-0-0 Protonated Ratio,1.75,2.62,1,N/A,N/A
5-8-2-0-0 All Adducts,1062045.25,1596118,608053.19,N/A,N/A
5-8-2-0-0 All Ratio,1.75,2.62,1,N/A,N/A
5-8-2-1-0 Protonated,9615322,873793.6,8419811,N/A,N/A
5-8-2-1-0 Protonated Ratio,11,1,9.64,N/A,N/A
5-8-2-1-0 All Adducts,9615322,970906.34,8419811,N/A,N/A
5-8-2-1-0 All Ratio,9.9,1,8.67,N/A,N/A
5-8-3-1-0 Protonated,36707.32,130239.4,389635.6,N/A,N/A
5-8-3-1-0 Protonated Ratio,1,3.55,10.61,N/A,N/A
5-8-3-1-0 All Adducts,65733.91,170828.41,389635.56,N/A,N/A
5-8-3-1-0 All Ratio,1,2.6,5.93,N/A,N/A
6-3-0-0-0 Protonated,89373820,68472080,139455000,N/A,N/A
6-3-0-0-0 Protonated Ratio,1.31,1,2.04,N/A,N/A
6-3-0-0-0 All Adducts,89373816,76853072,139455040,N/A,N/A
6-3-0-0-0 All Ratio,1.16,1,1.81,N/A,N/A
6-3-1-0-0 Protonated,577128300,609247600,936258700,N/A,N/A
6-3-1-0-0 Protonated Ratio,1,1.06,1.62,N/A,N/A
6-3-1-0-0 All Adducts,577128320,695503856,936258688,N/A,N/A
6-3-1-0-0 All Ratio,1,1.21,1.62,N/A,N/A
6-3-2-0-0 Protonated,105047300,76335980,61422140,N/A,N/A
6-3-2-0-0 Protonated Ratio,1.71,1.24,1,N/A,N/A
6-3-2-0-0 All Adducts,105047288,87264460,61422144,N/A,N/A
6-3-2-0-0 All Ratio,1.71,1.42,1,N/A,N/A
6-4-0-0-0 Protonated,6606383,3685041,9397878,N/A,N/A
6-4-0-0-0 Protonated Ratio,1.79,1,2.55,N/A,N/A
6-4-0-0-0 All Adducts,6606383,3685041,9397878,N/A,N/A
6-4-0-0-0 All Ratio,1.79,1,2.55,N/A,N/A
6-4-0-1-0 Protonated,14560300,8302419,31974030,N/A,N/A
6-4-0-1-0 Protonated Ratio,1.75,1,3.85,N/A,N/A
6-4-0-1-0 All Adducts,16744630.5,8302418.5,31974032,N/A,N/A
6-4-0-1-0 All Ratio,2.02,1,3.85,N/A,N/A
6-4-1-0-0 Protonated,316941400,123017100,288269400,N/A,N/A
6-4-1-0-0 Protonated Ratio,2.58,1,2.34,N/A,N/A
6-4-1-0-0 All Adducts,316941440,137730265,334633624,N/A,N/A
6-4-1-0-0 All Ratio,2.3,1,2.43,N/A,N/A
6-4-1-1-0 Protonated,1490367000,534683800,1042946000,N/A,N/A
6-4-1-1-0 Protonated Ratio,2.79,1,1.95,N/A,N/A
6-4-1-1-0 All Adducts,1646113456,811970336,1313113472,N/A,N/A
6-4-1-1-0 All Ratio,2.03,1,1.62,N/A,N/A
6-5-0-0-0 Protonated,298046.6,116753.1,132802.6,N/A,N/A
6-5-0-0-0 Protonated Ratio,2.55,1,1.14,N/A,N/A
6-5-0-0-0 All Adducts,298046.59,116753.1,132802.59,N/A,N/A
6-5-0-0-0 All Ratio,2.55,1,1.14,N/A,N/A
6-5-0-1-0 Protonated,2664094,951512.7,1920035,N/A,N/A
6-5-0-1-0 Protonated Ratio,2.8,1,2.02,N/A,N/A
6-5-0-1-0 All Adducts,2664093.75,951512.69,1920034.88,N/A,N/A
6-5-0-1-0 All Ratio,2.8,1,2.02,N/A,N/A
6-5-0-2-0 Protonated,100797.3,149458.2,162077.5,N/A,N/A
6-5-0-2-0 Protonated Ratio,1,1.48,1.61,N/A,N/A
6-5-0-2-0 All Adducts,100797.3,149458.22,180173.96,N/A,N/A
6-5-0-2-0 All Ratio,1,1.48,1.79,N/A,N/A
6-5-1-0-0 Protonated,55012540,21560890,51591950,N/A,N/A
6-5-1-0-0 Protonated Ratio,2.55,1,2.39,N/A,N/A
6-5-1-0-0 All Adducts,55012544,32049542,51591952,N/A,N/A
6-5-1-0-0 All Ratio,1.72,1,1.61,N/A,N/A
6-5-1-1-0 Protonated,79115620,16275620,50566470,N/A,N/A
6-5-1-1-0 Protonated Ratio,4.86,1,3.11,N/A,N/A
6-5-1-1-0 All Adducts,79115616,21709343,56566561.5,N/A,N/A
6-5-1-1-0 All Ratio,3.64,1,2.61,N/A,N/A
6-5-1-2-0 Protonated,54728070,29725050,90553980,N/A,N/A
6-5-1-2-0 Protonated Ratio,1.84,1,3.05,N/A,N/A
6-5-1-2-0 All Adducts,54728072,29725052,109882204,N/A,N/A
6-5-1-2-0 All Ratio,1.84,1,3.7,N/A,N/A
6-6-0-0-0 Protonated,9701795,7277741,14666800,N/A,N/A
6-6-0-0-0 Protonated Ratio,1.33,1,2.02,N/A,N/A
6-6-0-0-0 All Adducts,9701795,12734880,21449474.5,N/A,N/A
6-6-0-0-0 All Ratio,1,1.31,2.21,N/A,N/A
6-6-0-1-0 Protonated,335280.6,382553.2,1266087,N/A,N/A
6-6-0-1-0 Protonated Ratio,1,1.14,3.78,N/A,N/A
6-6-0-1-0 All Adducts,335280.56,489964.16,3358102.88,N/A,N/A
6-6-0-1-0 All Ratio,1,1.46,10.02,N/A,N/A
6-6-0-2-0 Protonated,329367.4,148486.2,101387,N/A,N/A
6-6-0-2-0 Protonated Ratio,3.25,1.46,1,N/A,N/A
6-6-0-2-0 All Adducts,329367.38,163343.12,101387.02,N/A,N/A
6-6-0-2-0 All Ratio,3.25,1.61,1,N/A,N/A
6-6-0-3-0 Protonated,34599.31,69298.64,41418.28,N/A,N/A
6-6-0-3-0 Protonated Ratio,1,2,1.2,N/A,N/A
6-6-0-3-0 All Adducts,168263.3,82972.58,41418.28,N/A,N/A
6-6-0-3-0 All Ratio,4.06,2,1,N/A,N/A
6-6-1-0-0 Protonated,306535.8,48578.38,79465.21,N/A,N/A
6-6-1-0-0 Protonated Ratio,6.31,1,1.64,N/A,N/A
6-6-1-0-0 All Adducts,306535.81,48578.38,79465.21,N/A,N/A
6-6-1-0-0 All Ratio,6.31,1,1.64,N/A,N/A
6-6-1-1-0 Protonated,91692820,39972170,45374500,N/A,N/A
6-6-1-1-0 Protonated Ratio,2.29,1,1.14,N/A,N/A
6-6-1-1-0 All Adducts,91692816,39972168,45374500,N/A,N/A
6-6-1-1-0 All Ratio,2.29,1,1.14,N/A,N/A
6-6-1-2-0 Protonated,150756.9,189194.8,99562.77,N/A,N/A
6-6-1-2-0 Protonated Ratio,1.51,1.9,1,N/A,N/A
6-6-1-2-0 All Adducts,150756.89,189194.8,118838.89,N/A,N/A
6-6-1-2-0 All Ratio,1.27,1.59,1,N/A,N/A
6-6-1-3-0 Protonated,63130220,20423590,14410670,N/A,N/A
6-6-1-3-0 Protonated Ratio,4.38,1.42,1,N/A,N/A
6-6-1-3-0 All Adducts,63130224,33562691,20690202,N/A,N/A
6-6-1-3-0 All Ratio,3.05,1.62,1,N/A,N/A
6-7-0-0-0 Protonated,286307.7,121215.5,662866.9,N/A,N/A
6-7-0-0-0 Protonated Ratio,2.36,1,5.47,N/A,N/A
6-7-0-0-0 All Adducts,286307.69,121215.5,662866.88,N/A,N/A
6-7-0-0-0 All Ratio,2.36,1,5.47,N/A,N/A
6-7-0-1-0 Protonated,85070.2,59117.34,135917.2,N/A,N/A
6-7-0-1-0 Protonated Ratio,1.44,1,2.3,N/A,N/A
6-7-0-1-0 All Adducts,85070.2,83684.74,191857.3,N/A,N/A
6-7-0-1-0 All Ratio,1.02,1,2.29,N/A,N/A
6-7-0-2-0 Protonated,156242.7,193018,102232.5,N/A,N/A
6-7-0-2-0 Protonated Ratio,1.53,1.89,1,N/A,N/A
6-7-0-2-0 All Adducts,354373.69,544416.58,142487.95,N/A,N/A
6-7-0-2-0 All Ratio,2.49,3.82,1,N/A,N/A
6-7-0-3-0 Protonated,352944.9,346240.3,1151017,N/A,N/A
6-7-0-3-0 Protonated Ratio,1.02,1,3.32,N/A,N/A
6-7-0-3-0 All Adducts,666953.66,1684095.16,1682892.33,N/A,N/A
6-7-0-3-0 All Ratio,1,2.53,2.52,N/A,N/A
6-7-0-4-0 Protonated,9051288,1886473,7347335,N/A,N/A
6-7-0-4-0 Protonated Ratio,4.8,1,3.89,N/A,N/A
6-7-0-4-0 All Adducts,11845177,2610708.94,9927710.5,N/A,N/A
6-7-0-4-0 All Ratio,4.54,1,3.8,N/A,N/A
6-7-1-0-0 Protonated,335611.3,115719.6,184197.3,N/A,N/A
6-7-1-0-0 Protonated Ratio,2.9,1,1.59,N/A,N/A
6-7-1-0-0 All Adducts,335611.31,115719.59,184197.28,N/A,N/A
6-7-1-0-0 All Ratio,2.9,1,1.59,N/A,N/A
6-7-1-1-0 Protonated,15283730,10751060,24489290,N/A,N/A
6-7-1-1-0 Protonated Ratio,1.42,1,2.28,N/A,N/A
6-7-1-1-0 All Adducts,15283734,19966912,28372602.5,N/A,N/A
6-7-1-1-0 All Ratio,1,1.31,1.86,N/A,N/A
6-7-1-2-0 Protonated,2597059,13968710,3764417,N/A,N/A
6-7-1-2-0 Protonated Ratio,1,5.38,1.45,N/A,N/A
6-7-1-2-0 All Adducts,5421913.25,13968714,4243623.41,N/A,N/A
6-7-1-2-0 All Ratio,1.28,3.29,1,N/A,N/A
6-7-1-3-0 Protonated,63857.47,69554.21,91228.76,N/A,N/A
6-7-1-3-0 Protonated Ratio,1,1.09,1.43,N/A,N/A
6-7-1-3-0 All Adducts,63857.47,69554.21,110887.65,N/A,N/A
6-7-1-3-0 All Ratio,1,1.09,1.74,N/A,N/A
6-7-1-4-0 Protonated,31476040,14117690,15305900,N/A,N/A
6-7-1-4-0 Protonated Ratio,2.23,1,1.08,N/A,N/A
6-7-1-4-0 All Adducts,31476040,21562544,20483920,N/A,N/A
6-7-1-4-0 All Ratio,1.54,1.05,1,N/A,N/A
6-7-2-3-0 Protonated,11547490,8327055,7863446,N/A,N/A
6-7-2-3-0 Protonated Ratio,1.47,1.06,1,N/A,N/A
6-7-2-3-0 All Adducts,11547490,10217068,9654969.5,N/A,N/A
6-7-2-3-0 All Ratio,1.2,1.06,1,N/A,N/A
6-7-2-4-0 Protonated,171602300,45787040,38908910,N/A,N/A
6-7-2-4-0 Protonated Ratio,4.41,1.18,1,N/A,N/A
6-7-2-4-0 All Adducts,171602288,66198020,50214675,N/A,N/A
6-7-2-4-0 All Ratio,3.42,1.32,1,N/A,N/A
6-7-3-2-0 Protonated,47137600,17640210,20219520,N/A,N/A
6-7-3-2-0 Protonated Ratio,2.67,1,1.15,N/A,N/A
6-7-3-2-0 All Adducts,47137604,17640210,20219524,N/A,N/A
6-7-3-2-0 All Ratio,2.67,1,1.15,N/A,N/A
6-7-3-3-0 Protonated,7361902,3455873,1893190,N/A,N/A
6-7-3-3-0 Protonated Ratio,3.89,1.83,1,N/A,N/A
6-7-3-3-0 All Adducts,7361901.5,4403631.25,3124263.98,N/A,N/A
6-7-3-3-0 All Ratio,2.36,1.41,1,N/A,N/A
6-7-3-4-0 Protonated,1045965,447912.5,668394.9,N/A,N/A
6-7-3-4-0 Protonated Ratio,2.34,1,1.49,N/A,N/A
6-7-3-4-0 All Adducts,1176040.37,447912.47,742152.09,N/A,N/A
6-7-3-4-0 All Ratio,2.63,1,1.66,N/A,N/A
6-8-0-0-0 Protonated,613567.2,93720.87,326371.3,N/A,N/A
6-8-0-0-0 Protonated Ratio,6.55,1,3.48,N/A,N/A
6-8-0-0-0 All Adducts,841680.42,243500.35,326371.25,N/A,N/A
6-8-0-0-0 All Ratio,3.46,1,1.34,N/A,N/A
6-8-0-1-0 Protonated,112358.2,609342.4,106570.4,N/A,N/A
6-8-0-1-0 Protonated Ratio,1.05,5.72,1,N/A,N/A
6-8-0-1-0 All Adducts,168527.64,609342.44,106570.36,N/A,N/A
6-8-0-1-0 All Ratio,1.58,5.72,1,N/A,N/A
6-8-0-2-0 Protonated,20964550,6277961,6376973,N/A,N/A
6-8-0-2-0 Protonated Ratio,3.34,1,1.02,N/A,N/A
6-8-0-2-0 All Adducts,20964552,6277960.5,6376972.5,N/A,N/A
6-8-0-2-0 All Ratio,3.34,1,1.02,N/A,N/A
6-8-1-0-0 Protonated,14942.05,23682.98,55940.11,N/A,N/A
6-8-1-0-0 Protonated Ratio,1,1.58,3.74,N/A,N/A
6-8-1-0-0 All Adducts,14942.05,23682.98,55940.11,N/A,N/A
6-8-1-0-0 All Ratio,1,1.58,3.74,N/A,N/A
6-8-1-1-0 Protonated,1303097,1405277,4899839,N/A,N/A
6-8-1-1-0 Protonated Ratio,1,1.08,3.76,N/A,N/A
6-8-1-1-0 All Adducts,1441671.75,2567520.88,5438595.69,N/A,N/A
6-8-1-1-0 All Ratio,1,1.78,3.77,N/A,N/A
6-8-1-2-0 Protonated,619554.9,25465.68,3247029,N/A,N/A
6-8-1-2-0 Protonated Ratio,24.33,1,127.51,N/A,N/A
6-8-1-2-0 All Adducts,619554.88,25465.68,3247029,N/A,N/A
6-8-1-2-0 All Ratio,24.33,1,127.51,N/A,N/A
6-8-4-3-0 Protonated,94222.37,124417.3,96154.97,N/A,N/A
6-8-4-3-0 Protonated Ratio,1,1.32,1.02,N/A,N/A
6-8-4-3-0 All Adducts,186878.22,138579.4,96154.97,N/A,N/A
6-8-4-3-0 All Ratio,1.94,1.44,1,N/A,N/A
6-9-0-0-0 Protonated,493056.3,166145.5,204502.1,N/A,N/A
6-9-0-0-0 Protonated Ratio,2.97,1,1.23,N/A,N/A
6-9-0-0-0 All Adducts,493056.31,205255.1,204502.09,N/A,N/A
6-9-0-0-0 All Ratio,2.41,1,1,N/A,N/A
6-9-0-1-0 Protonated,48115.41,686520.3,13682.98,N/A,N/A
6-9-0-1-0 Protonated Ratio,3.52,50.17,1,N/A,N/A
6-9-0-1-0 All Adducts,62316.14,686520.25,13682.98,N/A,N/A
6-9-0-1-0 All Ratio,4.55,50.17,1,N/A,N/A
6-9-0-2-0 Protonated,25947660,25834700,6410968,N/A,N/A
6-9-0-2-0 Protonated Ratio,4.05,4.03,1,N/A,N/A
6-9-0-2-0 All Adducts,25947656,25834702,6410968,N/A,N/A
6-9-0-2-0 All Ratio,4.05,4.03,1,N/A,N/A
6-9-1-0-0 Protonated,697094.9,107364.5,56908.34,N/A,N/A
6-9-1-0-0 Protonated Ratio,12.25,1.89,1,N/A,N/A
6-9-1-0-0 All Adducts,697094.88,845679.38,67062.2,N/A,N/A
6-9-1-0-0 All Ratio,10.39,12.61,1,N/A,N/A
6-9-1-1-0 Protonated,2405472,908022.6,841169.6,N/A,N/A
6-9-1-1-0 Protonated Ratio,2.86,1.08,1,N/A,N/A
6-9-1-1-0 All Adducts,2405472,1031611.73,841169.56,N/A,N/A
6-9-1-1-0 All Ratio,2.86,1.23,1,N/A,N/A
6-9-1-2-0 Protonated,2522133,4898656,2492992,N/A,N/A
6-9-1-2-0 Protonated Ratio,1.01,1.96,1,N/A,N/A
6-9-1-2-0 All Adducts,2522133.25,5468828.81,2492991.5,N/A,N/A
6-9-1-2-0 All Ratio,1.01,2.19,1,N/A,N/A
6-9-2-1-0 Protonated,15416.66,13681.89,12383.07,N/A,N/A
6-9-2-1-0 Protonated Ratio,1.24,1.1,1,N/A,N/A
6-9-2-1-0 All Adducts,56744.29,13681.89,12383.07,N/A,N/A
6-9-2-1-0 All Ratio,4.58,1.1,1,N/A,N/A
7-3-0-0-0 Protonated,3957.19,8799.63,0,N/A,N/A
7-3-0-0-0 Protonated Ratio,1,2.22,0,N/A,N/A
7-3-0-0-0 All Adducts,3957.19,8799.63,0,N/A,N/A
7-3-0-0-0 All Ratio,1,2.22,0,N/A,N/A
7-3-1-0-0 Protonated,1678117,1654812,1642273,N/A,N/A
7-3-1-0-0 Protonated Ratio,1.02,1.01,1,N/A,N/A
7-3-1-0-0 All Adducts,1678117.13,2478181.88,4761208.13,N/A,N/A
7-3-1-0-0 All Ratio,1,1.48,2.84,N/A,N/A
7-4-0-0-0 Protonated,4149.3,10485.64,11613.06,N/A,N/A
7-4-0-0-0 Protonated Ratio,1,2.53,2.8,N/A,N/A
7-4-0-0-0 All Adducts,4149.29,10485.64,25738.23,N/A,N/A
7-4-0-0-0 All Ratio,1,2.53,6.2,N/A,N/A
7-4-0-1-0 Protonated,36495.68,47141.16,9996.08,N/A,N/A
7-4-0-1-0 Protonated Ratio,3.65,4.72,1,N/A,N/A
7-4-0-1-0 All Adducts,53988.23,47141.16,9996.08,N/A,N/A
7-4-0-1-0 All Ratio,5.4,4.72,1,N/A,N/A
7-4-1-0-0 Protonated,7569.36,78140.21,382268.8,N/A,N/A
7-4-1-0-0 Protonated Ratio,1,10.32,50.5,N/A,N/A
7-4-1-0-0 All Adducts,7569.36,78140.21,382268.81,N/A,N/A
7-4-1-0-0 All Ratio,1,10.32,50.5,N/A,N/A
7-4-1-1-0 Protonated,1119226,849151.6,12453770,N/A,N/A
7-4-1-1-0 Protonated Ratio,1.32,1,14.67,N/A,N/A
7-4-1-1-0 All Adducts,1119226,849151.63,12453770,N/A,N/A
7-4-1-1-0 All Ratio,1.32,1,14.67,N/A,N/A
7-5-0-0-0 Protonated,6268.83,5686.03,4984.14,N/A,N/A
7-5-0-0-0 Protonated Ratio,1.26,1.14,1,N/A,N/A
7-5-0-0-0 All Adducts,6268.83,29586.69,4984.13,N/A,N/A
7-5-0-0-0 All Ratio,1.26,5.94,1,N/A,N/A
7-5-0-1-0 Protonated,138894.9,62304.5,1384619,N/A,N/A
7-5-0-1-0 Protonated Ratio,2.23,1,22.22,N/A,N/A
7-5-0-1-0 All Adducts,138894.89,441584.28,1384619,N/A,N/A
7-5-0-1-0 All Ratio,1,3.18,9.97,N/A,N/A
7-5-0-2-0 Protonated,301736.3,350251.1,5359153,N/A,N/A
7-5-0-2-0 Protonated Ratio,1,1.16,17.76,N/A,N/A
7-5-0-2-0 All Adducts,853628.9,392653.01,5359153,N/A,N/A
7-5-0-2-0 All Ratio,2.17,1,13.65,N/A,N/A
7-5-1-0-0 Protonated,46607.8,29260.2,115157.2,N/A,N/A
7-5-1-0-0 Protonated Ratio,1.59,1,3.94,N/A,N/A
7-5-1-0-0 All Adducts,46607.8,29260.2,115157.19,N/A,N/A
7-5-1-0-0 All Ratio,1.59,1,3.94,N/A,N/A
7-5-1-1-0 Protonated,613691.9,304904.9,1612991,N/A,N/A
7-5-1-1-0 Protonated Ratio,2.01,1,5.29,N/A,N/A
7-5-1-1-0 All Adducts,701741.58,382340.25,1612991,N/A,N/A
7-5-1-1-0 All Ratio,1.84,1,4.22,N/A,N/A
7-5-1-2-0 Protonated,50158900,27073650,27095340,N/A,N/A
7-5-1-2-0 Protonated Ratio,1.85,1,1,N/A,N/A
7-5-1-2-0 All Adducts,50158904,44376612,35003696.5,N/A,N/A
7-5-1-2-0 All Ratio,1.43,1.27,1,N/A,N/A
7-6-0-0-0 Protonated,21913.45,34236.71,35878.31,N/A,N/A
7-6-0-0-0 Protonated Ratio,1,1.56,1.64,N/A,N/A
7-6-0-0-0 All Adducts,21913.45,34236.71,35878.31,N/A,N/A
7-6-0-0-0 All Ratio,1,1.56,1.64,N/A,N/A
7-6-0-1-0 Protonated,24048.91,142237.4,22384.71,N/A,N/A
7-6-0-1-0 Protonated Ratio,1.07,6.35,1,N/A,N/A
7-6-0-1-0 All Adducts,24048.91,142237.41,22384.71,N/A,N/A
7-6-0-1-0 All Ratio,1.07,6.35,1,N/A,N/A
7-6-0-2-0 Protonated,101976.2,148298.7,132994.1,N/A,N/A
7-6-0-2-0 Protonated Ratio,1,1.45,1.3,N/A,N/A
7-6-0-2-0 All Adducts,101976.22,148298.7,132994.09,N/A,N/A
7-6-0-2-0 All Ratio,1,1.45,1.3,N/A,N/A
7-6-0-3-0 Protonated,1824146,1798998,564616.6,N/A,N/A
7-6-0-3-0 Protonated Ratio,3.23,3.19,1,N/A,N/A
7-6-0-3-0 All Adducts,1824145.63,1798998.13,699150.09,N/A,N/A
7-6-0-3-0 All Ratio,2.61,2.57,1,N/A,N/A
7-6-1-0-0 Protonated,873126.8,1151378,417786.1,N/A,N/A
7-6-1-0-0 Protonated Ratio,2.09,2.76,1,N/A,N/A
7-6-1-0-0 All Adducts,873126.75,1151378.25,417786.13,N/A,N/A
7-6-1-0-0 All Ratio,2.09,2.76,1,N/A,N/A
7-6-1-1-0 Protonated,131594.7,88433.77,106368.2,N/A,N/A
7-6-1-1-0 Protonated Ratio,1.49,1,1.2,N/A,N/A
7-6-1-1-0 All Adducts,131594.7,88433.77,106368.2,N/A,N/A
7-6-1-1-0 All Ratio,1.49,1,1.2,N/A,N/A
7-6-1-2-0 Protonated,8992943,1200277,5006761,N/A,N/A
7-6-1-2-0 Protonated Ratio,7.49,1,4.17,N/A,N/A
7-6-1-2-0 All Adducts,11173038,1592654.19,6720233.38,N/A,N/A
7-6-1-2-0 All Ratio,7.02,1,4.22,N/A,N/A
7-6-1-3-0 Protonated,15200110,4675325,8407393,N/A,N/A
7-6-1-3-0 Protonated Ratio,3.25,1,1.8,N/A,N/A
7-6-1-3-0 All Adducts,19918558.5,7023498.25,11369632.25,N/A,N/A
7-6-1-3-0 All Ratio,2.84,1,1.62,N/A,N/A
7-7-0-0-0 Protonated,19580.08,205128.6,34812.26,N/A,N/A
7-7-0-0-0 Protonated Ratio,1,10.48,1.78,N/A,N/A
7-7-0-0-0 All Adducts,41951.81,205128.59,78798.08,N/A,N/A
7-7-0-0-0 All Ratio,1,4.89,1.88,N/A,N/A
7-7-0-1-0 Protonated,287606.1,416268.8,160287.8,N/A,N/A
7-7-0-1-0 Protonated Ratio,1.79,2.6,1,N/A,N/A
7-7-0-1-0 All Adducts,3557848.22,1040300.25,1742086.92,N/A,N/A
7-7-0-1-0 All Ratio,3.42,1,1.67,N/A,N/A
7-7-0-2-0 Protonated,3839237,2040420,1156140,N/A,N/A
7-7-0-2-0 Protonated Ratio,3.32,1.76,1,N/A,N/A
7-7-0-2-0 All Adducts,3839236.5,2040420.13,1156139.5,N/A,N/A
7-7-0-2-0 All Ratio,3.32,1.76,1,N/A,N/A
7-7-0-3-0 Protonated,595013.3,135749.2,60375.37,N/A,N/A
7-7-0-3-0 Protonated Ratio,9.86,2.25,1,N/A,N/A
7-7-0-3-0 All Adducts,2154325.5,135749.22,60375.37,N/A,N/A
7-7-0-3-0 All Ratio,35.68,2.25,1,N/A,N/A
7-7-0-4-0 Protonated,11149.09,11730.62,5415.26,N/A,N/A
7-7-0-4-0 Protonated Ratio,2.06,2.17,1,N/A,N/A
7-7-0-4-0 All Adducts,261677.18,11730.62,11034.25,N/A,N/A
7-7-0-4-0 All Ratio,23.71,1.06,1,N/A,N/A
7-7-1-0-0 Protonated,34132.96,278926.1,107925.3,N/A,N/A
7-7-1-0-0 Protonated Ratio,1,8.17,3.16,N/A,N/A
7-7-1-0-0 All Adducts,251866.37,278926.09,183357.74,N/A,N/A
7-7-1-0-0 All Ratio,1.37,1.52,1,N/A,N/A
7-7-1-1-0 Protonated,1726963,781999,521701.3,N/A,N/A
7-7-1-1-0 Protonated Ratio,3.31,1.5,1,N/A,N/A
7-7-1-1-0 All Adducts,1726963.25,781999,521701.31,N/A,N/A
7-7-1-1-0 All Ratio,3.31,1.5,1,N/A,N/A
7-7-1-2-0 Protonated,16440.45,12692.84,8618.78,N/A,N/A
7-7-1-2-0 Protonated Ratio,1.91,1.47,1,N/A,N/A
7-7-1-2-0 All Adducts,16440.45,12692.84,8618.78,N/A,N/A
7-7-1-2-0 All Ratio,1.91,1.47,1,N/A,N/A
7-7-1-3-0 Protonated,92852.66,42949.93,19560.4,N/A,N/A
7-7-1-3-0 Protonated Ratio,4.75,2.2,1,N/A,N/A
7-7-1-3-0 All Adducts,92852.66,42949.93,26647.23,N/A,N/A
7-7-1-3-0 All Ratio,3.48,1.61,1,N/A,N/A
7-7-1-4-0 Protonated,619441.9,203351.5,327474.9,N/A,N/A
7-7-1-4-0 Protonated Ratio,3.05,1,1.61,N/A,N/A
7-7-1-4-0 All Adducts,7456391.69,1212158.84,1039570.3,N/A,N/A
7-7-1-4-0 All Ratio,7.17,1.17,1,N/A,N/A
7-8-0-0-0 Protonated,13507.18,35312.46,18060.12,N/A,N/A
7-8-0-0-0 Protonated Ratio,1,2.61,1.34,N/A,N/A
7-8-0-0-0 All Adducts,55492.29,35312.46,18060.12,N/A,N/A
7-8-0-0-0 All Ratio,3.07,1.96,1,N/A,N/A
7-8-0-1-0 Protonated,1083114,136630,2713064,N/A,N/A
7-8-0-1-0 Protonated Ratio,7.93,1,19.86,N/A,N/A
7-8-0-1-0 All Adducts,1083114,136630.03,2713064,N/A,N/A
7-8-0-1-0 All Ratio,7.93,1,19.86,N/A,N/A
7-8-0-2-0 Protonated,135309.1,83535.86,69194.08,N/A,N/A
7-8-0-2-0 Protonated Ratio,1.96,1.21,1,N/A,N/A
7-8-0-2-0 All Adducts,987566.42,351542.45,267102.49,N/A,N/A
7-8-0-2-0 All Ratio,3.7,1.32,1,N/A,N/A
7-8-0-3-0 Protonated,6156473,1761441,2663190,N/A,N/A
7-8-0-3-0 Protonated Ratio,3.5,1,1.51,N/A,N/A
7-8-0-3-0 All Adducts,8460648.75,1967135.22,2663190.25,N/A,N/A
7-8-0-3-0 All Ratio,4.3,1,1.35,N/A,N/A
7-8-0-4-0 Protonated,18793.06,7223.15,4635.21,N/A,N/A
7-8-0-4-0 Protonated Ratio,4.05,1.56,1,N/A,N/A
7-8-0-4-0 All Adducts,30548.07,7223.15,4635.21,N/A,N/A
7-8-0-4-0 All Ratio,6.59,1.56,1,N/A,N/A
7-8-1-0-0 Protonated,188367.9,969659.9,197617.6,N/A,N/A
7-8-1-0-0 Protonated Ratio,1,5.15,1.05,N/A,N/A
