# version: 4.2.21
# date: 2023/10/12
# data: E:\LipidSearch\data\Akeem\AD gang_lipidomics\FAD10_gangliosides.raw
# filter: TopRankFilter(Peak) TopRankFilter(Lipid) Class(CL,DLCL,MLCL,LPA,PA,LPC,PC,LPE,PE,LPG,PG,LPI,PI,LPS,PS,PIP,PIP2,PIP3,Cer,CerP,CerPE,Hex1SPH,Hex1Cer,Hex2Cer,Hex3Cer,CerG2GNAc1,CerG3GNAc1,CerG3GNAc2,GM3,GM2,GM1,GD1a,GD1b,GD2,GD3,GT1a,GT1b,GT1c,GT2,GT3,GQ1c,GQ1b,LSM,phSM,SM,SPH,SPHP,ST,AcHexSiE,AcHexStE,AcHexZyE,AcHexCmE,AcHexChE,ChE,D7ChE,CmE,DG,D5DG,MG,SiE,StE,TG,D5TG,ZyE,AcCa,AEA,Co,cPA,FA,LPEt,LPMe,OAHFA,PAF,PEt,PMe,SL,WE)

DataId	LipidIon	Class	FattyAcid	Ion	Formula	ObsMz	Rt	It.	It.(S)	It.(N)	Pol.	z	Scan	ObsMass	CalcMz	Delta(Da)	Delta(PPM)	t-Score	TopRT	Area	AreaScore	PeakQuality	SN	QMethod	Height	Hwhm(L)	Hwhm(R)	QuantInfo	
2780	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.2010434727466	2.095508	6476651.5	2.34383435E7	2.34383435E7	N	1	MS1	227.2004949427466	227.20165353000002	-6.100572534251114E-4	-2.6851053012839734	0.7640800095440969	2.045	1.816E08	1.0	0.99	1,927.350	SI	5.720E07	0.0	0.0	2.045_57197201.818_1.927_2.145_181642185.413_0.99_1927.35_1.961_29661.222_2.142_29661.222	
2785	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.2011286564762	2.89092	1019499.5625	8534281.436844	8534281.436844	N	1	MS1	227.20058012647618	227.20165353000002	-5.248735238296831E-4	-2.310176864590314	0.03133199045590285	3.409	4.132E07	1.0	0.41	1,183,833.560	SI	1.184E06	0.0	0.0	3.409_1183834.561_2.649_3.489_41324622.858_0.41_1183833.56_2.649_0.000_3.489_0.000;2.287_445771.598_2.171_2.643_5064462.241_0.49_445770.60_2.171_0.000_2.643_0.000	
2798	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.201134	14.9526	60468.878906	60468.878906	60468.878906	N	1	MS1	227.20058547	227.20165352999996	-5.195299999627423E-4	-2.286657839758701	11.649059397404038	15.247	1.769E05	1.0	0.32	1.010	SI	1.276E05	0.0	0.0	15.247_127581.980_14.456_15.441_176894.475_0.32_1.01_14.501_63513.331_15.338_63513.331	
2791	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.201145	7.064295	128034.796875	128034.796875	128034.796875	N	1	MS1	227.20059647	227.20165352999996	-5.085299999620929E-4	-2.2382423631939727	3.7607543974040385	6.612	1.296E06	1.0	0.56	1.100	SI	2.279E05	0.0	0.0	6.612_227874.397_6.568_7.555_1295589.215_0.56_1.10_6.831_92160.645_7.536_92160.645	
2819	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.20114621938754	10.451628	118907.515625	578333.421876	578333.421876	N	1	MS1	227.20059768938754	227.20165352999996	-5.073106124200422E-4	-2.2328753426678967	7.148087397404037	10.758	2.085E05	1.0	0.67	0.740	SI	1.342E05	0.0	0.0	10.758_134168.793_9.958_10.944_208473.229_0.67_0.74_10.026_77110.003_10.838_77110.003	
2787	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.20115178356355	8.557734	98788.171875	601685.656252	601685.656252	N	1	MS1	227.20060325356354	227.20165352999996	-5.017464364129864E-4	-2.2083851417111795	5.254193397404038	8.557	7.746E04	1.0	0.42	0.320	SI	1.013E05	0.0	0.0	9.205_127473.916_8.645_9.230_115969.375_0.51_0.33_8.645_82915.453_9.098_82915.453;8.381_119513.152_8.243_8.507_268321.312_0.70_0.55_8.356_76989.945_8.507_76989.945;8.557_101324.534_8.507_8.645_77458.207_0.42_0.32_8.507_76989.945_8.645_76989.945	
2817	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.20117576948383	8.382439	124298.703125	1151671.062502	1151671.062502	N	1	MS1	227.20062723948382	227.20165352999996	-4.777605161336851E-4	-2.102813367808599	5.078898397404037	8.381	2.683E05	1.0	0.7	0.550	SI	1.195E05	0.0	0.0	9.205_127473.916_8.645_9.230_115969.375_0.51_0.33_8.645_82915.453_9.098_82915.453;8.381_119513.152_8.243_8.507_268321.312_0.70_0.55_8.356_76989.945_8.507_76989.945;8.557_101324.534_8.507_8.645_77458.207_0.42_0.32_8.507_76989.945_8.645_76989.945	
2802	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.20118193856152	9.752474	118400.117188	673319.007815	673319.007815	N	1	MS1	227.20063340856152	227.20165352999996	-4.7159143844055507E-4	-2.0756607557185807	6.448933397404037	10.353	1.187E06	1.0	0.77	0.320	SI	1.200E05	0.0	0.0	10.353_119950.287_9.391_10.378_1186537.231_0.77_0.32_9.391_91018.508_10.279_91018.508	
2824	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.2011856873724	8.236547	112873.5	1293226.679689	1293226.679689	N	1	MS1	227.2006371573724	227.20165352999996	-4.6784262755750206E-4	-2.0591607198418505	4.9330063974040375	7.744	6.315E05	1.0	0.29	0.450	SI	1.474E05	0.0	0.0	7.744_147390.453_7.744_8.727_631470.434_0.29_0.45_7.782_88558.386_8.645_88558.386	
2806	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.20118891613265	5.686385	417387.40625	772280.4375	772280.4375	N	1	MS1	227.20064038613265	227.20165352999996	-4.646138673081168E-4	-2.0449496379873535	2.3828443974040376	5.845	1.712E07	1.0	0.74	3.100	SI	6.451E05	0.0	0.0	5.845_645052.172_5.479_6.913_17118942.085_0.74_3.10_5.479_157146.060_6.729_157146.060;5.334_531793.340_5.151_5.479_1222599.171_0.70_0.58_5.151_337550.537_5.479_337550.537	
