# version: 4.2.21
# date: 2023/10/12
# data: E:\LipidSearch\data\Akeem\AD gang_lipidomics\FAD8_gangliosides.raw
# filter: TopRankFilter(Peak) TopRankFilter(Lipid) Class(CL,DLCL,MLCL,LPA,PA,LPC,PC,LPE,PE,LPG,PG,LPI,PI,LPS,PS,PIP,PIP2,PIP3,Cer,CerP,CerPE,Hex1SPH,Hex1Cer,Hex2Cer,Hex3Cer,CerG2GNAc1,CerG3GNAc1,CerG3GNAc2,GM3,GM2,GM1,GD1a,GD1b,GD2,GD3,GT1a,GT1b,GT1c,GT2,GT3,GQ1c,GQ1b,LSM,phSM,SM,SPH,SPHP,ST,AcHexSiE,AcHexStE,AcHexZyE,AcHexCmE,AcHexChE,ChE,D7ChE,CmE,DG,D5DG,MG,SiE,StE,TG,D5TG,ZyE,AcCa,AEA,Co,cPA,FA,LPEt,LPMe,OAHFA,PAF,PEt,PMe,SL,WE)

DataId	LipidIon	Class	FattyAcid	Ion	Formula	ObsMz	Rt	It.	It.(S)	It.(N)	Pol.	z	Scan	ObsMass	CalcMz	Delta(Da)	Delta(PPM)	t-Score	TopRT	Area	AreaScore	PeakQuality	SN	QMethod	Height	Hwhm(L)	Hwhm(R)	QuantInfo	
1097	FA(13:0)-H	FA	(13:0)	M-H	O2 H25 C13	213.185483	2.055931	1684093.25	1684093.25	1684093.25	N	1	MS1	213.18493447	213.18600353000002	-5.20530000017061E-4	-2.441682857708275	0.13518322768912272	2.053	5.670E06	1.0	0.99	8,355.490	SI	1.711E06	0.0	0.0	2.053_1710635.529_1.962_2.160_5669783.590_0.99_8355.49_1.976_204.708_2.148_204.708	
1098	FA(13:0)-H	FA	(13:0)	M-H	O2 H25 C13	213.18562700000004	0.417452	46804.601834	46804.601834	46804.601834	N	1	MS1	213.18507847000004	213.18600353000002	-3.765299999827221E-4	-1.766211794394927	1.773662227689123	0.055	6.128E04	1.0	0.23	1.140	SI	6.442E04	0.0	0.0	0.055_64421.092_0.004_0.908_61280.626_0.23_1.14_0.023_30113.465_0.742_30113.465	
1099	FA(13:0)-H	FA	(13:0)	M-H	O2 H25 C13	213.185707	23.812079	38349.458005	38349.458005	38349.458005	N	1	MS1	213.18515847	213.18600353000002	-2.965300000141724E-4	-1.3909504870898455	21.620964772310877	24.251	2.488E05	1.0	0.85	2.610	SI	4.476E04	0.0	0.0	24.251_44761.294_23.317_24.303_248768.031_0.85_2.61_23.362_12389.277_24.283_12389.277	
1100	FA(13:0)-H	FA	(13:0)	M-H	O2 H25 C13	213.185806	24.868654	31996.422623	31996.422623	31996.422623	N	1	MS1	213.18525747	213.18600353000002	-1.97530000008328E-4	-0.9265650090092413	22.677539772310876	24.389	5.823E04	1.0	0.63	0.570	SI	4.168E04	0.0	0.0	24.389_41683.915_24.374_24.994_58234.290_0.63_0.57_24.467_24998.597_24.926_24998.597	
2364	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.201033	16.802253	101949.289063	101949.289063	101949.289063	N	1	MS1	227.20048447	227.20165352999996	-6.205299999635372E-4	-2.7312001618793786	14.590180191952879	16.701	7.284E05	1.0	0.7	1.350	SI	1.259E05	0.0	0.0	16.701_125935.899_16.303_17.290_728399.269_0.70_1.35_16.303_53491.012_17.263_53491.012	
2362	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.2010507807718	15.479529	94747.328125	169818.546875	169818.546875	N	1	MS1	227.2005022507718	227.20165352999996	-6.027492281646118E-4	-2.6529396818820823	13.267456191952878	15.539	3.666E05	1.0	0.67	1.280	SI	1.422E05	0.0	0.0	15.539_142230.318_14.980_15.969_366640.304_0.67_1.28_15.155_62266.311_15.922_62266.311	
2369	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.20105749607455	2.036422	9.0578656E7	6.98294902875E8	6.98294902875E8	N	1	MS1	227.20050896607455	227.20165353000002	-5.9603392546137E-4	-2.6233828796148053	0.05003639325494036	2.039	2.948E08	1.0	0.98	6,933.990	SI	9.213E07	0.0	0.0	2.039_92128616.537_1.950_2.172_294762324.430_0.98_6933.99_1.960_13284.608_2.158_13284.608	
2363	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.20106953610366	2.672324	146153.78125	534658.828125	534658.828125	N	1	MS1	227.20052100610366	227.20165352999996	-5.839938962992619E-4	-2.570389776014524	0.46025119195287933	2.842	2.783E07	1.0	0.6	15.200	SI	1.635E06	0.0	0.0	2.842_1634994.089_2.591_3.161_27825731.999_0.60_15.20_2.591_100942.789_3.161_100942.789;2.334_510912.188_2.174_2.395_4434096.903_0.51_510911.19_2.174_0.000_2.395_0.000	
2365	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.20107200000004	16.159945	55011.277344	55011.277344	55011.277344	N	1	MS1	227.20052347000004	227.20165352999996	-5.815299999198942E-4	-2.5595451587798848	13.947872191952879	15.779	1.014E06	1.0	0.57	1.070	SI	1.333E05	0.0	0.0	15.779_133349.272_15.662_16.649_1013614.306_0.57_1.07_15.662_64375.418_16.649_64375.418	
2371	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.201122	21.993959	74084.945313	74084.945313	74084.945313	N	1	MS1	227.20057347	227.20165352999996	-5.315299999608669E-4	-2.339474728619253	19.78188619195288	21.72	1.352E06	1.0	0.66	1.250	SI	1.339E05	0.0	0.0	21.720_133887.062_21.494_22.486_1352146.907_0.66_1.25_21.494_59597.785_22.472_59597.785	
