# version: 4.2.21
# date: 2023/10/12
# data: E:\LipidSearch\data\Akeem\AD gang_lipidomics\FC8_gangliosides.raw
# filter: TopRankFilter(Peak) TopRankFilter(Lipid) Class(CL,DLCL,MLCL,LPA,PA,LPC,PC,LPE,PE,LPG,PG,LPI,PI,LPS,PS,PIP,PIP2,PIP3,Cer,CerP,CerPE,Hex1SPH,Hex1Cer,Hex2Cer,Hex3Cer,CerG2GNAc1,CerG3GNAc1,CerG3GNAc2,GM3,GM2,GM1,GD1a,GD1b,GD2,GD3,GT1a,GT1b,GT1c,GT2,GT3,GQ1c,GQ1b,LSM,phSM,SM,SPH,SPHP,ST,AcHexSiE,AcHexStE,AcHexZyE,AcHexCmE,AcHexChE,ChE,D7ChE,CmE,DG,D5DG,MG,SiE,StE,TG,D5TG,ZyE,AcCa,AEA,Co,cPA,FA,LPEt,LPMe,OAHFA,PAF,PEt,PMe,SL,WE)

DataId	LipidIon	Class	FattyAcid	Ion	Formula	ObsMz	Rt	It.	It.(S)	It.(N)	Pol.	z	Scan	ObsMass	CalcMz	Delta(Da)	Delta(PPM)	t-Score	TopRT	Area	AreaScore	PeakQuality	SN	QMethod	Height	Hwhm(L)	Hwhm(R)	QuantInfo	
1566	FA(13:0)-H	FA	(13:0)	M-H	O2 H25 C13	213.185675	12.764121	36609.945313	36609.945313	36609.945313	N	1	MS1	213.18512647	213.18600353000002	-3.285300000186453E-4	-1.5410549762948729	10.738587788182352	12.38	6.306E05	1.0	0.5	0.940	SI	5.319E04	0.0	0.0	12.380_53192.628_12.269_13.252_630624.277_0.50_0.94_12.331_27393.593_13.215_27393.593	
3067	FA(14:1)-H	FA	(14:1)	M-H	O2 H25 C14	225.185267	8.896122	27841.24963	27841.24963	27841.24963	N	1	MS1	225.18471847	225.18600353000002	-7.365300000117259E-4	-3.2707814500736174	6.6925538012136565	8.93	1.308E04	1.0	0.73	6,445.610	SI	6.447E03	0.0	0.0	8.930_6446.614_8.770_9.059_13084.746_0.73_6445.61_8.770_0.000_9.059_0.000;8.487_11012.028_8.401_8.536_11795.350_0.81_11011.03_8.401_0.000_8.536_0.000;8.579_6020.172_8.536_8.770_3090.903_0.94_6019.17_8.536_0.000_8.659_0.000;9.164_9174.536_9.059_9.231_6679.933_1.00_9173.54_9.059_0.000_9.231_0.000;9.299_8560.396_9.231_9.385_6100.881_1.00_8559.40_9.231_0.000_9.354_0.000	
3205	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.20103747860207	2.056809	2.727312E7	2.382335795E8	2.382335795E8	N	1	MS1	227.20048894860207	227.20165352999996	-6.160513978841209E-4	-2.711487993423666	0.06237829971870856	2.059	1.103E08	1.0	1.0	27,334,292.160	SI	2.733E07	0.0	0.0	2.059_27334293.157_1.948_2.275_110303634.475_1.00_27334292.16_1.948_0.000_2.270_0.000	
3206	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.20109800000003	12.770245	117273.222759	117273.222759	117273.222759	N	1	MS1	227.20054947000003	227.20165352999996	-5.555299999286945E-4	-2.445108522952968	10.775814299718707	12.992	6.893E04	1.0	0.39	0.710	SI	1.287E05	0.0	0.0	12.992_128698.224_12.275_13.258_68925.714_0.39_0.71_12.386_75201.511_13.234_75201.511	
3207	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.201129	2.40721	122957.695313	122957.695313	122957.695313	N	1	MS1	227.20058047	227.20165352999996	-5.245299999501185E-4	-2.308664876053776	0.41277929971870875	3.178	2.637E07	1.0	0.43	700,706.010	SI	7.007E05	0.0	0.0	3.178_700707.013_2.296_3.367_26366941.824_0.43_700706.01_2.296_0.000_3.348_0.000	
3209	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.20118	18.517391	133205.499722	133205.499722	133205.499722	N	1	MS1	227.20063147	227.20165352999996	-4.735299999651943E-4	-2.084193150791133	16.522960299718708	18.196	9.831E05	1.0	0.57	0.800	SI	1.082E05	0.0	0.0	18.196_108234.652_18.022_19.006_983076.548_0.57_0.80_18.131_60171.190_18.942_60171.190	
3208	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.201186	15.296907	123897.078125	123897.078125	123897.078125	N	1	MS1	227.20063747	227.20165352999996	-4.675299999519211E-4	-2.0577847190840504	13.302476299718707	15.296	7.447E05	1.0	0.52	1.400	SI	1.249E05	0.0	0.0	15.296_124874.025_14.799_15.787_744741.499_0.52_1.40_14.812_52127.495_15.717_52127.495	
3210	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.20121290000307	0.146753	401974.46875	1089391.4375	1089391.4375	N	1	MS1	227.20066437000307	227.20165353000002	-4.4062999694460814E-4	-1.9393869211008514	1.8298023475932315	0.146	8.938E05	1.0	0.71	0.480	SI	4.016E05	0.0	0.0	0.055_383363.954_0.004_0.083_39036.651_0.84_0.00_0.000_0.000_0.000_0.000;0.146_401584.362_0.083_0.292_893830.140_0.71_0.48_0.083_271380.117_0.292_271380.117;0.415_344903.013_0.292_0.505_342678.793_0.92_0.27_0.292_271380.117_0.438_271380.117	
3213	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.20123500000003	9.020721	88683.21875	88683.21875	88683.21875	N	1	MS1	227.20068647000002	227.20165352999996	-4.185299999335257E-4	-1.8421159127474254	7.026290299718709	9.268	3.245E05	1.0	0.57	0.790	SI	1.185E05	0.0	0.0	9.268_118531.087_8.630_9.618_324543.062_0.57_0.79_8.630_66354.037_9.551_66354.037	
3214	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.201325	19.710191	366069.393116	366069.393116	366069.393116	N	1	MS1	227.20077647	227.20165352999996	-3.285299999618019E-4	-1.4459897763825713	17.715760299718706	19.673	3.878E05	1.0	0.51	1.250	SI	1.222E05	0.0	0.0	19.673_122216.178_19.211_20.198_387791.439_0.51_1.25_19.243_54436.495_20.173_54436.495	
