# version: 4.2.21
# date: 2023/10/12
# data: E:\LipidSearch\data\Akeem\AD gang_lipidomics\FC6_gangliosides.raw
# filter: TopRankFilter(Peak) TopRankFilter(Lipid) Class(CL,DLCL,MLCL,LPA,PA,LPC,PC,LPE,PE,LPG,PG,LPI,PI,LPS,PS,PIP,PIP2,PIP3,Cer,CerP,CerPE,Hex1SPH,Hex1Cer,Hex2Cer,Hex3Cer,CerG2GNAc1,CerG3GNAc1,CerG3GNAc2,GM3,GM2,GM1,GD1a,GD1b,GD2,GD3,GT1a,GT1b,GT1c,GT2,GT3,GQ1c,GQ1b,LSM,phSM,SM,SPH,SPHP,ST,AcHexSiE,AcHexStE,AcHexZyE,AcHexCmE,AcHexChE,ChE,D7ChE,CmE,DG,D5DG,MG,SiE,StE,TG,D5TG,ZyE,AcCa,AEA,Co,cPA,FA,LPEt,LPMe,OAHFA,PAF,PEt,PMe,SL,WE)

DataId	LipidIon	Class	FattyAcid	Ion	Formula	ObsMz	Rt	It.	It.(S)	It.(N)	Pol.	z	Scan	ObsMass	CalcMz	Delta(Da)	Delta(PPM)	t-Score	TopRT	Area	AreaScore	PeakQuality	SN	QMethod	Height	Hwhm(L)	Hwhm(R)	QuantInfo	
3001	FA(14:1)-H	FA	(14:1)	M-H	O2 H25 C14	225.185585	6.510745	11162.617188	11162.617188	11162.617188	N	1	MS1	225.18503647	225.18600353000002	-4.185300000187908E-4	-1.858604845950983	4.492103308193887	6.514	3.576E04	1.0	0.79	12,803.690	SI	1.280E04	0.0	0.0	6.514_12804.688_6.446_6.674_35756.543_0.79_12803.69_6.446_0.000_6.674_0.000;6.280_12568.239_6.015_6.446_73475.983_0.62_405.91_6.107_30.887_6.446_30.887;6.711_8648.285_6.674_6.822_13655.088_0.56_8647.29_6.674_0.000_6.822_0.000;6.976_7807.513_6.822_7.000_13248.003_1.00_7254.90_6.822_0.005_6.902_0.005	
3002	FA(14:1)-H	FA	(14:1)	M-H	O2 H25 C14	225.18579500000004	8.183376	50313.049882	50313.049882	50313.049882	N	1	MS1	225.18524647000004	225.18600353000002	-2.0852999998055566E-4	-0.9260375768371519	6.1647343081938875	8.184	5.109E03	1.0	0.87	7,492.830	SI	7.494E03	0.0	0.0	8.184_7493.834_8.128_8.229_5108.957_0.87_7492.83_8.128_0.000_8.229_0.000;7.717_8543.614_7.685_8.039_38874.063_0.52_7681.89_7.755_0.000_8.039_0.000;8.077_7286.583_8.039_8.128_6188.503_0.80_7285.58_8.039_0.000_8.128_0.000;8.260_6177.223_8.229_8.298_3147.695_0.95_2865.86_8.229_2.155_8.298_2.155;8.342_9960.222_8.298_8.393_6947.050_0.95_9959.22_8.298_0.395_8.393_0.395;8.671_6298.265_8.393_8.671_10910.255_0.95_5647.15_8.393_0.000_8.545_0.000	
3114	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.201168	7.783095	111047.015625	111047.015625	111047.015625	N	1	MS1	227.20061947	227.20165353000002	-4.8553000002016233E-4	-2.137010018514816	5.757302408476283	8.113	5.248E06	0.62	0.67	0.450	BS	1.110E05	0.376	0.364	3.237_699891.360_0.655_0.772_63775958.637_0.61_60947.68_2.292_3.579;2.061_19233554.126_0.032_0.039_87465454.101_0.99_25337604.25_1.917_2.286;8.113_110989.087_0.376_0.364_5248091.564_0.67_0.45_7.950_8.169	
3116	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.20118908889316	2.063943	2.4922632E7	2.162611145E8	2.162611145E8	N	1	MS1	227.20064055889316	227.20165353000002	-4.644411068568388E-4	-2.044189249266003	0.03815040847628248	2.061	9.685E07	1.0	0.99	12,716.940	SI	2.534E07	0.0	0.0	2.061_25335124.818_1.950_2.243_96854188.883_0.99_12716.94_1.964_1992.078_2.239_1992.078	
3117	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.20125242164073	18.19886	72528.179688	138128.359376	138128.359376	N	1	MS1	227.20070389164073	227.20165353000002	-4.011083592843079E-4	-1.7654362526782015	16.17306740847628	18.32	2.212E05	1.0	0.79	1.100	SI	1.180E05	0.0	0.0	18.320_118010.108_17.704_18.688_221237.038_0.79_1.10_17.717_56213.511_18.655_56213.511	
3119	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.20126	17.001697	125640.479804	125640.479804	125640.479804	N	1	MS1	227.20071147	227.20165353000002	-3.9353000002506633E-4	-1.7320808437566393	14.975904408476282	17.257	4.752E05	1.0	0.74	1.000	SI	1.158E05	0.0	0.0	17.257_115835.454_16.892_17.679_475186.128_0.74_1.00_16.892_57830.173_17.595_57830.173;16.821_113658.475_16.691_16.892_161037.767_0.61_0.72_16.749_66178.769_16.892_66178.769	
3118	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.20127906932652	2.47466	127626.875	362439.593751	362439.593751	N	1	MS1	227.2007305393265	227.20165353000002	-3.7446067349833356E-4	-1.6481490733301916	0.4488674084762825	2.061	8.747E07	0.62	0.99	25,337,604.250	BS	1.923E07	0.032	0.039	3.237_699891.360_0.655_0.772_63775958.637_0.61_60947.68_2.292_3.579;2.061_19233554.126_0.032_0.039_87465454.101_0.99_25337604.25_1.917_2.286;8.113_110989.087_0.376_0.364_5248091.564_0.67_0.45_7.950_8.169	
3124	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.20128316579866	15.351983	78067.65625	140958.492188	140958.492188	N	1	MS1	227.20073463579865	227.20165353000002	-3.7036420135905246E-4	-1.6301188548212395	13.326190408476283	14.878	9.412E05	1.0	0.35	0.810	SI	1.218E05	0.0	0.0	14.878_121846.484_14.853_15.841_941198.418_0.35_0.81_14.992_63655.235_15.834_63655.235	
3123	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.20138981753894	0.170366	363691.1875	1403862.09375	1403862.09375	N	1	MS1	227.20084128753894	227.20165352999996	-2.6371246102030454E-4	-1.1607019565854404	1.8500089926774783	0.106	5.944E05	1.0	0.8	0.420	SI	3.961E05	0.0	0.0	0.106_396051.286_0.004_0.594_594439.790_0.80_0.42_0.069_279417.032_0.547_279417.032	
3125	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.201435	13.680518	67031.617188	67031.617188	67031.617188	N	1	MS1	227.20088647	227.20165353000002	-2.185300000121515E-4	-0.9618360359742988	11.654725408476281	13.477	3.039E05	1.0	0.65	0.870	SI	1.325E05	0.0	0.0	13.477_132525.681_13.183_14.174_303905.975_0.65_0.87_13.220_71057.037_14.136_71057.037	
