# version: 4.2.21
# date: 2023/10/12
# data: E:\LipidSearch\data\Akeem\AD gang_lipidomics\FAD6_gangliosides.raw
# filter: TopRankFilter(Peak) TopRankFilter(Lipid) Class(CL,DLCL,MLCL,LPA,PA,LPC,PC,LPE,PE,LPG,PG,LPI,PI,LPS,PS,PIP,PIP2,PIP3,Cer,CerP,CerPE,Hex1SPH,Hex1Cer,Hex2Cer,Hex3Cer,CerG2GNAc1,CerG3GNAc1,CerG3GNAc2,GM3,GM2,GM1,GD1a,GD1b,GD2,GD3,GT1a,GT1b,GT1c,GT2,GT3,GQ1c,GQ1b,LSM,phSM,SM,SPH,SPHP,ST,AcHexSiE,AcHexStE,AcHexZyE,AcHexCmE,AcHexChE,ChE,D7ChE,CmE,DG,D5DG,MG,SiE,StE,TG,D5TG,ZyE,AcCa,AEA,Co,cPA,FA,LPEt,LPMe,OAHFA,PAF,PEt,PMe,SL,WE)

DataId	LipidIon	Class	FattyAcid	Ion	Formula	ObsMz	Rt	It.	It.(S)	It.(N)	Pol.	z	Scan	ObsMass	CalcMz	Delta(Da)	Delta(PPM)	t-Score	TopRT	Area	AreaScore	PeakQuality	SN	QMethod	Height	Hwhm(L)	Hwhm(R)	QuantInfo	
858	FA(13:0)-H	FA	(13:0)	M-H	O2 H25 C13	213.18541971011518	2.051107	1560654.25	4306959.625	4306959.625	N	1	MS1	213.18487118011518	213.18600353000002	-5.838198848380216E-4	-2.7385615198968085	0.46414989216311064	2.048	5.278E06	0.96	0.99	133,405.330	BS	1.544E06	0.025	0.028	2.048_1544232.259_0.025_0.028_5278203.754_0.99_133405.33_1.985_2.154;1.971_57333.997_0.021_0.018_145318.016_0.52_44.81_1.947_1.985	
1943	FA(14:1)-H	FA	(14:1)	M-H	O2 H25 C14	225.18526936696966	2.051107	1165893.0	2731612.625	2731612.625	N	1	MS1	225.18472083696966	225.18600353000002	-7.341630303585589E-4	-3.2602701800984173	1.0763701054450372	2.05	3.291E06	1.0	0.98	1,173,103.140	SI	1.173E06	0.0	0.0	2.050_1173104.139_1.941_2.158_3290700.539_0.98_1173103.14_1.941_0.000_2.154_0.000	
2041	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.201098	2.881167	1489920.5	1489920.5	1489920.5	N	1	MS1	227.20054947	227.20165353000002	-5.555300000139596E-4	-2.445108523328254	0.01077983823478812	3.475	2.189E08	0.68	0.81	11.040	BS	1.436E06	1.036	1.351	3.475_1436369.137_1.036_1.351_218894520.834_0.81_11.04_2.681_6.153;2.045_67667403.402_0.035_0.032_290651645.799_0.99_897292.15_1.887_2.190;2.278_402530.354_0.124_0.124_6354802.652_0.66_5345.52_2.190_2.448	
2044	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.201128	11.81971	113212.8125	113212.8125	113212.8125	N	1	MS1	227.20057947	227.20165353000002	-5.255300000044372E-4	-2.3130662836792153	8.927763161765213	12.383	1.992E06	1.0	0.51	1.600	SI	1.498E05	0.0	0.0	12.383_149847.939_11.789_12.615_1992323.732_0.51_1.60_11.789_57593.252_12.559_57593.252;11.714_140817.539_11.632_11.789_359270.381_0.41_1.45_11.632_57593.252_11.789_57593.252	
2047	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.201141	8.433437	87483.734375	87483.734375	87483.734375	N	1	MS1	227.20059247	227.20165353000002	-5.125300000088373E-4	-2.255847990697968	5.5414901617652115	7.963	1.742E06	1.0	0.32	0.790	SI	1.319E05	0.0	0.0	7.963_131909.948_7.937_8.921_1742487.905_0.32_0.79_8.046_70105.259_8.889_70105.259	
2048	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.2011739409246	0.353577	364671.25	3074560.5625	3074560.5625	N	1	MS1	227.2006254109246	227.20165352999996	-4.7958907535416984E-4	-2.1108615985839165	1.0458362237882537	0.213	1.271E06	1.0	0.53	0.190	SI	3.779E05	0.0	0.0	0.213_377922.031_0.004_0.842_1271485.796_0.53_0.19_0.061_316832.310_0.836_316832.310	
2053	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.2011799245273	6.184147	470860.625	1792738.65625	1792738.65625	N	1	MS1	227.2006313945273	227.20165353000002	-4.7360547270614006E-4	-2.084525336920116	3.292200161765212	5.86	1.657E07	1.0	0.78	3.010	SI	6.231E05	0.0	0.0	5.860_623080.232_5.568_6.822_16572290.594_0.78_3.01_5.651_155556.819_6.822_155556.819;6.854_182679.459_6.822_7.329_371533.694_0.25_0.45_6.822_126414.138_7.272_126414.138	
2077	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.20118318771068	6.910581	172592.359375	757052.171875	757052.171875	N	1	MS1	227.20063465771068	227.20165353000002	-4.7034228933284794E-4	-2.070162744225792	4.0186341617652115	6.854	3.715E05	1.0	0.25	0.450	SI	1.827E05	0.0	0.0	5.860_623080.232_5.568_6.822_16572290.594_0.78_3.01_5.651_155556.819_6.822_155556.819;6.854_182679.459_6.822_7.329_371533.694_0.25_0.45_6.822_126414.138_7.272_126414.138	
2066	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.20118344811564	9.338504	102047.148438	184906.765626	184906.765626	N	1	MS1	227.20063491811564	227.20165353000002	-4.7008188437303033E-4	-2.0690165964652802	6.446557161765212	9.159	9.185E05	1.0	0.91	0.590	SI	1.196E05	0.0	0.0	9.159_119587.386_8.840_9.828_918503.917_0.91_0.59_8.903_75001.159_9.810_75001.159	
2065	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.201188	7.451938	123184.132813	123184.132813	123184.132813	N	1	MS1	227.20063947	227.20165353000002	-4.6553000001381406E-4	-2.0489819091168693	4.559991161765212	7.005	6.562E05	1.0	0.4	0.780	SI	1.772E05	0.0	0.0	7.005_177152.296_6.954_7.943_656171.401_0.40_0.78_6.967_99299.739_7.853_99299.739	
