# version: 4.2.21
# date: 2023/10/12
# data: E:\LipidSearch\data\Akeem\AD gang_lipidomics\FC9_gangliosides.raw
# filter: TopRankFilter(Peak) TopRankFilter(Lipid) Class(CL,DLCL,MLCL,LPA,PA,LPC,PC,LPE,PE,LPG,PG,LPI,PI,LPS,PS,PIP,PIP2,PIP3,Cer,CerP,CerPE,Hex1SPH,Hex1Cer,Hex2Cer,Hex3Cer,CerG2GNAc1,CerG3GNAc1,CerG3GNAc2,GM3,GM2,GM1,GD1a,GD1b,GD2,GD3,GT1a,GT1b,GT1c,GT2,GT3,GQ1c,GQ1b,LSM,phSM,SM,SPH,SPHP,ST,AcHexSiE,AcHexStE,AcHexZyE,AcHexCmE,AcHexChE,ChE,D7ChE,CmE,DG,D5DG,MG,SiE,StE,TG,D5TG,ZyE,AcCa,AEA,Co,cPA,FA,LPEt,LPMe,OAHFA,PAF,PEt,PMe,SL,WE)

DataId	LipidIon	Class	FattyAcid	Ion	Formula	ObsMz	Rt	It.	It.(S)	It.(N)	Pol.	z	Scan	ObsMass	CalcMz	Delta(Da)	Delta(PPM)	t-Score	TopRT	Area	AreaScore	PeakQuality	SN	QMethod	Height	Hwhm(L)	Hwhm(R)	QuantInfo	
3144	FA(14:1)-H	FA	(14:1)	M-H	O2 H25 C14	225.18571099999997	2.584771	20414.616315	20414.616315	20414.616315	N	1	MS1	225.18516246999997	225.18600353000002	-2.9253000005269314E-4	-1.2990642760118138	1.1912944077715135	2.585	3.938E03	1.0	0.99	9,666.890	SI	9.668E03	0.0	0.0	2.585_9667.885_2.578_2.595_3937.583_0.99_9666.89_2.578_0.000_2.595_0.000;2.572_7915.910_2.548_2.578_3153.644_1.00_7914.91_2.548_0.000_2.578_0.000;2.604_5740.373_2.595_2.612_2536.837_0.98_5739.37_2.595_0.000_2.612_0.000;2.622_6680.363_2.612_2.635_2843.867_1.00_6679.36_2.612_0.000_2.635_0.000;2.652_8650.507_2.635_2.670_3640.988_0.99_41.70_2.635_202.581_2.670_202.581;2.684_8261.656_2.670_2.702_3789.074_1.00_40.48_2.670_199.150_2.698_199.150	
3278	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.20108398115434	2.064159	1.6603594E7	1.4922036E8	1.4922036E8	N	1	MS1	227.20053545115434	227.20165353000002	-5.695488456751718E-4	-2.5068111945432396	0.09369312157313403	2.063	6.803E07	1.0	0.99	16,619,543.390	SI	1.662E07	0.0	0.0	2.063_16619544.392_1.965_2.299_68031677.567_0.99_16619543.39_1.965_0.000_2.294_0.000	
3280	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.201149	20.258578	137121.248402	137121.248402	137121.248402	N	1	MS1	227.20060046999998	227.20165353000002	-5.045300000290354E-4	-2.220636736810273	18.288112121573135	20.156	4.425E05	1.0	0.47	1.070	SI	1.040E05	0.0	0.0	20.156_104010.348_20.035_20.334_442473.316_0.47_1.07_20.035_50201.522_20.334_50201.522;19.838_104000.548_19.761_19.908_247469.411_0.62_1.31_19.761_44967.034_19.908_44967.034;19.978_99316.975_19.908_20.035_192641.634_0.73_1.21_19.908_44967.034_20.035_44967.034;20.595_108650.085_20.334_20.748_805289.410_0.64_1.45_20.334_44426.505_20.748_44426.505	
3285	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.20122999999998	16.81595	157942.638794	157942.638794	157942.638794	N	1	MS1	227.20068146999998	227.20165353000002	-4.2353000003458874E-4	-1.8641229299768296	14.845484121573135	16.937	2.506E05	1.0	0.73	0.510	SI	1.117E05	0.0	0.0	16.937_111716.437_16.433_17.423_250638.814_0.73_0.51_16.433_73857.273_17.371_73857.273	
3281	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.20123176220127	21.266091	145068.284084	239959.47939700002	239959.47939700002	N	1	MS1	227.20068323220127	227.20165353000002	-4.2176779874125714E-4	-1.8563667711782645	19.295625121573135	21.699	3.104E04	1.0	0.58	0.270	SI	1.058E05	0.0	0.0	21.699_105802.443_20.766_21.757_31040.597_0.58_0.27_20.792_83135.717_21.731_83135.717	
3286	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.2012653420003	0.019495	381052.8125	1773581.59375	1773581.59375	N	1	MS1	227.2007168120003	227.20165352999996	-3.881879996470161E-4	-1.7085685516046434	1.4989143046649773	0.017	2.209E04	1.0	0.39	0.000	SI	3.785E05	0.0	0.0	0.017_378453.628_0.004_0.039_22090.850_0.39_0.00_0.000_0.000_0.000_0.000;0.128_383412.152_0.039_0.269_981473.046_0.65_0.49_0.039_256884.151_0.269_256884.151;0.371_346996.368_0.269_0.566_506490.862_0.46_0.35_0.269_256884.151_0.557_256884.151	
3287	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.20127837408288	0.122006	351931.0	1701067.75	1701067.75	N	1	MS1	227.20072984408287	227.20165352999996	-3.7515591708370266E-4	-1.6512091195356389	1.3964033046649773	0.128	9.815E05	1.0	0.65	0.490	SI	3.834E05	0.0	0.0	0.017_378453.628_0.004_0.039_22090.850_0.39_0.00_0.000_0.000_0.000_0.000;0.128_383412.152_0.039_0.269_981473.046_0.65_0.49_0.039_256884.151_0.269_256884.151;0.371_346996.368_0.269_0.566_506490.862_0.46_0.35_0.269_256884.151_0.557_256884.151	
3289	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.201295	19.24263	100299.28125	100299.28125	100299.28125	N	1	MS1	227.20074646999998	227.20165353000002	-3.585300000281677E-4	-1.578031787300966	17.272164121573134	19.651	5.699E05	1.0	0.36	0.660	SI	1.099E05	0.0	0.0	19.651_109881.438_18.877_19.867_569866.567_0.36_0.66_18.877_66168.508_19.747_66168.508	
3290	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.201336	12.738012	88219.875	88219.875	88219.875	N	1	MS1	227.20078747	227.20165353000002	-3.175300000179959E-4	-1.3975743814705006	10.767546121573133	12.372	2.189E06	1.0	0.58	0.520	SI	1.402E05	0.0	0.0	12.372_140173.216_12.243_13.229_2189233.628_0.58_0.52_12.286_92401.964_13.093_92401.964	
3292	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.201348	17.616039	92176.101563	92176.101563	92176.101563	N	1	MS1	227.20079947	227.20165353000002	-3.055300000198713E-4	-1.344757592106158	15.645573121573134	18.22	6.824E05	1.0	0.48	1.420	SI	1.176E05	0.0	0.0	18.220_117568.828_17.373_18.361_682443.939_0.48_1.42_17.385_48650.050_18.284_48650.050	
3293	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.201391	15.137689	208808.106131	208808.106131	208808.106131	N	1	MS1	227.20084247	227.20165353000002	-2.62530000014749E-4	-1.1554974759805916	13.167223121573134	14.852	4.090E05	1.0	0.55	0.590	SI	1.235E05	0.0	0.0	14.852_123493.962_14.732_15.631_408996.068_0.55_0.59_14.732_77545.356_15.594_77545.356;14.657_96647.654_14.638_14.732_27551.747_0.69_0.25_14.638_77545.356_14.732_77545.356	
