# version: 4.2.21
# date: 2023/10/12
# data: E:\LipidSearch\data\Akeem\AD gang_lipidomics\FAD7_gangliosides.raw
# filter: TopRankFilter(Peak) TopRankFilter(Lipid) Class(CL,DLCL,MLCL,LPA,PA,LPC,PC,LPE,PE,LPG,PG,LPI,PI,LPS,PS,PIP,PIP2,PIP3,Cer,CerP,CerPE,Hex1SPH,Hex1Cer,Hex2Cer,Hex3Cer,CerG2GNAc1,CerG3GNAc1,CerG3GNAc2,GM3,GM2,GM1,GD1a,GD1b,GD2,GD3,GT1a,GT1b,GT1c,GT2,GT3,GQ1c,GQ1b,LSM,phSM,SM,SPH,SPHP,ST,AcHexSiE,AcHexStE,AcHexZyE,AcHexCmE,AcHexChE,ChE,D7ChE,CmE,DG,D5DG,MG,SiE,StE,TG,D5TG,ZyE,AcCa,AEA,Co,cPA,FA,LPEt,LPMe,OAHFA,PAF,PEt,PMe,SL,WE)

DataId	LipidIon	Class	FattyAcid	Ion	Formula	ObsMz	Rt	It.	It.(S)	It.(N)	Pol.	z	Scan	ObsMass	CalcMz	Delta(Da)	Delta(PPM)	t-Score	TopRT	Area	AreaScore	PeakQuality	SN	QMethod	Height	Hwhm(L)	Hwhm(R)	QuantInfo	
1053	FA(13:0)-H	FA	(13:0)	M-H	O2 H25 C13	213.1855113944453	2.053219	1190353.75	2282002.0	2282002.0	N	1	MS1	213.1849628644453	213.18600353000002	-4.92135554708284E-4	-2.308490937145556	0.2474194316570162	2.041	4.194E06	1.0	0.99	34.660	SI	1.216E06	0.0	0.0	2.041_1215536.907_1.918_2.116_4193868.153_0.99_34.66_1.918_34089.285_2.113_34089.285	
1054	FA(13:0)-H	FA	(13:0)	M-H	O2 H25 C13	213.18557999999996	1.777111	50556.381901	50556.381901	50556.381901	N	1	MS1	213.18503146999996	213.18600353000002	-4.2353000006301045E-4	-1.9866779442374258	0.523527431657016	2.052	4.840E06	1.0	0.99	1,188,729.330	SI	1.189E06	0.0	0.0	2.052_1188730.331_1.714_2.202_4839686.373_0.99_1188729.33_1.714_0.055_2.177_0.055;0.820_58911.511_0.739_1.320_200370.344_0.39_0.94_0.970_28939.328_1.320_28939.328;2.864_126835.906_2.202_2.864_1107120.118_0.87_63362.20_2.202_0.020_2.320_0.020	
2389	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.20105565329015	2.065438	4.6915508E7	1.46981431E8	1.46981431E8	N	1	MS1	227.20050712329015	227.20165352999996	-5.978767098042681E-4	-2.631493729368442	0.3468333335652729	2.041	3.184E08	1.0	0.99	288.960	SI	1.021E08	0.0	0.0	2.041_102087796.044_1.936_2.147_318401187.741_0.99_288.96_1.956_352075.853_2.143_352075.853	
2390	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.2011037036746	2.684388	176831.65625	637172.40625	637172.40625	N	1	MS1	227.2005551736746	227.20165353000002	-5.498263254253288E-4	-2.4200043217545644	0.17975464242520367	2.847	5.186E07	1.0	0.56	8.250	SI	1.482E06	0.0	0.0	2.847_1482368.321_2.666_4.799_51859991.355_0.56_8.25_2.666_160326.469_4.793_160326.469	
2394	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.20111799999998	21.837764	81562.671875	81562.671875	81562.671875	N	1	MS1	227.20056946999998	227.20165353000002	-5.35530000036033E-4	-2.3570803598128545	19.333130642425203	21.666	2.109E06	1.0	0.42	2.000	SI	1.200E05	0.0	0.0	21.666_119956.549_21.339_22.325_2109193.872_0.42_2.00_21.339_40005.500_22.291_40005.500	
2404	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.201153	15.349257	68477.015625	68477.015625	68477.015625	N	1	MS1	227.20060447	227.20165353000002	-5.005300000107127E-4	-2.203031110671202	12.844623642425203	15.435	1.008E06	1.0	0.6	1.010	SI	1.223E05	0.0	0.0	15.435_122294.909_14.978_15.839_1007863.805_0.60_1.01_14.978_60755.666_15.839_60755.666;14.925_115331.669_14.852_14.978_36573.884_0.59_0.36_14.872_84504.615_14.978_84504.615	
2415	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.2011703326996	6.347836	392848.25	2861301.40625	2861301.40625	N	1	MS1	227.2006218026996	227.20165353000002	-4.8319730041157527E-4	-2.12674286090283	3.8432026424252035	5.969	1.641E07	1.0	0.47	4.330	SI	6.247E05	0.0	0.0	5.969_624723.192_5.732_6.824_16414366.622_0.47_4.33_5.732_117245.515_6.824_117245.515;7.130_176526.840_6.824_7.180_596475.228_0.78_0.51_6.824_117245.515_7.149_117245.515	
2392	WE(2:0_12:0)-H	WE	(2:0_12:0)	M-H	H27 C14 O2	227.20117272976304	1.706773	322355.78125	2306937.65625	2306937.65625	N	1	MS1	227.20062419976304	227.20165352999996	-4.80800236914547E-4	-2.116192411917891	0.7054983335652727	0.396	1.198E05	1.0	0.55	0.000	SI	3.779E05	0.0	0.0	0.396_377947.789_0.119_1.892_119783.321_0.55_0.00_0.000_0.000_0.000_0.000;2.043_101831481.533_1.892_2.193_322273922.713_0.99_101831480.53_1.892_0.000_2.181_0.000;2.244_588366.343_2.193_2.684_7897531.069_0.59_588365.34_2.193_0.000_2.376_0.000;2.847_1477364.939_2.684_3.023_16300296.807_0.96_7.36_2.684_176779.363_2.904_176779.363;3.105_1366249.120_3.023_5.701_19311084.467_0.85_1366248.12_3.023_0.000_3.501_0.000;5.827_619119.843_5.701_6.223_3245497.851_0.42_0.60_5.701_387626.312_6.216_387626.312	
2423	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.20117377724563	8.311817	103237.382813	475974.953127	475974.953127	N	1	MS1	227.20062524724563	227.20165353000002	-4.797527543871638E-4	-2.1115820164010746	5.807183642425203	8.04	7.823E05	1.0	0.36	0.680	SI	1.330E05	0.0	0.0	8.040_132959.440_7.928_8.920_782322.673_0.36_0.68_7.928_78912.704_8.857_78912.704	
2405	FA(14:0)-H	FA	(14:0)	M-H	O2 H27 C14	227.20117888072454	6.689866	217588.453125	1990887.8125	1990887.8125	N	1	MS1	227.20063035072454	227.20165353000002	-4.746492754748033E-4	-2.0891195360774213	4.185232642425204	6.689	1.690E06	1.0	0.66	0.970	SI	2.146E05	0.0	0.0	6.689_214615.402_6.633_7.376_1690436.906_0.66_0.97_6.633_108971.336_7.376_108971.336;7.469_147506.002_7.376_7.624_195081.059_0.68_0.74_7.376_84770.439_7.519_84770.439	
